mechanism_a,mechanism_b,n_a,n_b,n_intersection,n_union,jaccard
msp,entropy,4,1,1,4,0.25
msp,margin,4,5,4,5,0.8
msp,disagreement,4,3,3,4,0.75
msp,lambda_rule,4,5,4,5,0.8
entropy,margin,1,5,1,5,0.2
entropy,disagreement,1,3,1,3,0.3333333333333333
entropy,lambda_rule,1,5,1,5,0.2
margin,disagreement,5,3,3,5,0.6
margin,lambda_rule,5,5,5,5,1.0
disagreement,lambda_rule,3,5,3,5,0.6
