alpha,calibrator,group,frr_k,frr_n,frr,cp_lo,cp_hi,marginal_coverage,one_minus_marginal_coverage,gap_frr_minus_1mcov,powered
0.05,raps_marginal,all_escalating,59,683,0.08638360175695461,0.0664081072984946,0.11001498103679462,0.9506920415224913,0.049307958477508684,0.03707564327944593,True
0.05,raps_marginal,<40,11,29,0.3793103448275862,0.2068686994865071,0.5773953593355987,0.9506920415224913,0.049307958477508684,0.3300023863500775,False
0.05,raps_marginal,40-59,24,182,0.13186813186813187,0.08635165001540722,0.18982870231894686,0.9506920415224913,0.049307958477508684,0.08256017339062319,True
0.05,raps_marginal,60+,24,470,0.05106382978723404,0.03298797628833577,0.07502872374771732,0.9506920415224913,0.049307958477508684,0.0017558713097253556,True
0.1,raps_marginal,all_escalating,151,683,0.22108345534407028,0.19049046656727622,0.2541079593929753,0.9008073817762399,0.09919261822376013,0.12189083712031015,True
0.1,raps_marginal,<40,15,29,0.5172413793103449,0.32531499636145644,0.7055144170481589,0.9008073817762399,0.09919261822376013,0.41804876108658473,False
0.1,raps_marginal,40-59,57,182,0.3131868131868132,0.2466128141310962,0.38596600490865407,0.9008073817762399,0.09919261822376013,0.21399419496305305,True
0.1,raps_marginal,60+,79,470,0.16808510638297872,0.13539255643999154,0.2050199164875882,0.9008073817762399,0.09919261822376013,0.06889248815921858,True
