score,r,n,n_missed,chance_p0,n_rescued,rescue_rate,clopper_pearson_lo,clopper_pearson_hi,grouped_bootstrap_lo,grouped_bootstrap_hi,primary_interval,p_value_vs_chance,p_holm,significant_holm,cohort,band,confirmatory
msp,66,1319,29,0.050037907505686124,4,0.13793103448275862,0.03889483129543888,0.3166406094391376,0.029411764705882353,0.3181818181818182,clopper_pearson,0.05487837349860762,0.16463512049582285,False,ham_oof,<40,True
entropy,66,1319,29,0.050037907505686124,1,0.034482758620689655,0.0008726468835799229,0.1776442954887229,0.0,0.12,clopper_pearson,1.0,1.0,False,ham_oof,<40,True
margin,66,1319,29,0.050037907505686124,5,0.1724137931034483,0.05845608297263442,0.357747554414644,0.03571428571428571,0.34615384615384615,clopper_pearson,0.013617791857079842,0.05447116742831937,False,ham_oof,<40,True
disagreement,66,1319,29,0.050037907505686124,3,0.10344827586206896,0.02186373682985365,0.2735151978924229,0.0,0.25,clopper_pearson,0.1753900490157039,0.3507800980314078,False,ham_oof,<40,True
