dev_cohort,eval_cohort,band,threshold_type,n_dev,n_target,n_escalating_target,escalating_prior_target,tau,r_intended,r_realized,burden_intended,burden_realized,burden_error,S_frozen,S_frozen_ci_lo,S_frozen_ci_hi,S_frozen_ci_kind,S_oracle_at_realized,S_oracle_at_intended,T_matched,T_matched_ci_lo,T_matched_ci_hi,T_intended,T_intended_ci_lo,T_intended_ci_hi,S_argmax_natural,S_argmax_natural_ci_lo,S_argmax_natural_ci_hi,S_argmax_natural_ci_kind,burden_argmax_natural,S_frozen_minus_argmax,S_frozen_minus_argmax_ci_lo,S_frozen_minus_argmax_ci_hi,n_boot_used,caveat
ham_oof,ham_val,ALL,frozen_deployable,6981,1532,308,0.2010443864229765,0.4869374420823372,260,285,0.1697464546626557,0.1860313315926893,0.0162848769300335,0.7142857142857143,0.6412592219986587,0.7831782202708553,grouped_bootstrap,0.7142857142857143,0.6948051948051948,0.0,0.0,0.0,-0.0194805194805195,-0.0927115749991811,0.0177320739002045,0.7142857142857143,0.6444224422442245,0.7834459796737416,grouped_bootstrap,0.185378590078329,0.0,-0.013029315960912,0.013029315960912,2000,
ham_oof,bcn20000,ALL,frozen_deployable,6981,11982,6403,0.5343849106993824,0.4869374420823372,2034,2657,0.1697464546626557,0.2217492906025705,0.0520028359399147,0.3838825550523192,0.3609381447606877,0.4049901993283249,grouped_bootstrap,0.3838825550523192,0.3017335623926284,0.0,0.0,0.0,-0.0821489926596907,-0.106172360417379,-0.0577801350408689,0.3876307980634078,0.3658916077391498,0.4091491366566655,grouped_bootstrap,0.2249207144049407,-0.0037482430110885,-0.0084343865007149,0.0011331298557158,2000,
ham_oof,mskcc,ALL,frozen_deployable,6981,2903,552,0.1901481226317602,0.4869374420823372,493,259,0.1697464546626557,0.0892180502928005,-0.0805284043698552,0.2789855072463768,0.2410681935817805,0.3182660471984076,grouped_bootstrap,0.2789855072463768,0.4148550724637681,0.0,0.0,0.0,0.1358695652173913,0.1043071994017689,0.1645343993705597,0.269927536231884,0.2327199017199017,0.307695810564663,grouped_bootstrap,0.0895625215294523,0.0090579710144927,-0.0034668094283182,0.0219780219780219,2000,"72% of MSKCC rows have a null lesion_id (S28); effective_lesion_id falls back to a per-row singleton, so MSKCC's lesion-grouped bootstrap is optimistic -- reported for completeness (F5), never as confirmatory evidence."
ham_oof,pad,ALL,frozen_deployable,6981,2106,1627,0.7725546058879392,0.4869374420823372,357,375,0.1697464546626557,0.178062678062678,0.0083162234000222,0.224339274738783,0.2044468473210672,0.245494375060927,grouped_bootstrap,0.224339274738783,0.2145052243392747,0.0,0.0,0.0,-0.0098340503995082,-0.0303824007322276,0.0104104472851602,0.2206515058389674,0.2006078566823247,0.2421285094875363,grouped_bootstrap,0.1752136752136752,0.0036877688998156,-0.0056854972994514,0.0129717728904246,2000,"PAD-UFES-20's escalating prior is ~77%, inverted relative to HAM's ~19% -- any policy referring a large constant fraction of PAD achieves high sensitivity mechanically. Never cite PAD transport numbers as mechanism replication."
ham_oof,ham_val,<40,frozen_deployable,1319,267,22,0.08239700374531835,0.48782336604407295,13,17,0.050037907505686124,0.06367041198501873,0.013632504479332605,0.5454545454545454,0.3221047545531717,0.7561381340769835,clopper_pearson,0.5454545454545454,0.4090909090909091,0.0,0.0,0.0,-0.1363636363636363,-0.4347826086956521,0.125,0.5454545454545454,0.3221047545531717,0.7561381340769835,clopper_pearson,0.06367041198501873,0.0,0.0,0.0,2000,
ham_oof,bcn20000,<40,frozen_deployable,1319,1964,369,0.1878818737270876,0.48782336604407295,98,123,0.050037907505686124,0.06262729124236252,0.012589383736676396,0.27100271002710025,0.16863736263736265,0.37413957482086807,grouped_bootstrap,0.27100271002710025,0.23035230352303523,0.0,0.0,0.0,-0.04065040650406501,-0.15262354467223488,0.039172405803585594,0.2791327913279133,0.1792702027047378,0.3820605700712588,grouped_bootstrap,0.06517311608961303,-0.008130081300813052,-0.024913256227758036,0.0072297908340383295,2000,
ham_oof,mskcc,<40,frozen_deployable,1319,756,36,0.047619047619047616,0.48782336604407295,38,26,0.050037907505686124,0.03439153439153439,-0.015646373114151735,0.3333333333333333,0.18556180982592121,0.5097025466518912,clopper_pearson,0.3333333333333333,0.3888888888888889,0.0,0.0,0.0,0.05555555555555558,0.0,0.16129032258064518,0.3333333333333333,0.18556180982592121,0.5097025466518912,clopper_pearson,0.03571428571428571,0.0,0.0,0.0,2000,"72% of MSKCC rows have a null lesion_id (S28); effective_lesion_id falls back to a per-row singleton, so MSKCC's lesion-grouped bootstrap is optimistic -- reported for completeness (F5), never as confirmatory evidence."
ham_oof,pad,<40,frozen_deployable,1319,241,74,0.3070539419087137,0.48782336604407295,12,16,0.050037907505686124,0.06639004149377593,0.01635213398808981,0.20270270270270271,0.11812409898639027,0.31219502823361156,clopper_pearson,0.20270270270270271,0.16216216216216217,0.0,0.0,0.0,-0.04054054054054054,-0.15958510638297876,0.043494245524296586,0.17567567567567569,0.09699276945158893,0.28165670107764,clopper_pearson,0.058091286307053944,0.02702702702702703,0.0,0.06557916307161345,2000,"PAD-UFES-20's escalating prior is ~77%, inverted relative to HAM's ~19% -- any policy referring a large constant fraction of PAD achieves high sensitivity mechanically. Never cite PAD transport numbers as mechanism replication."
