arm,checkpoint,cohort,threshold_type,macro_f1,balanced_accuracy,argmax_referrals,argmax_burden,esc_pauc[<40],esc_pauc[40-59],esc_pauc[60+],esc_pauc[all],B_u40,C_u40,S_argmax_u40,n_escalating_u40,matched_r,under40_sens_matched,overall_sens_matched,delta_B_u40,delta_C_u40,delta_under40_sens_matched,delta_esc_pauc[<40],delta_esc_pauc[all],delta_macro_f1,delta_B_u40_ci_lo,delta_C_u40_ci_lo,delta_under40_sens_matched_ci_lo,delta_esc_pauc[<40]_ci_lo,delta_esc_pauc[all]_ci_lo,delta_macro_f1_ci_lo,delta_B_u40_ci_hi,delta_C_u40_ci_hi,delta_under40_sens_matched_ci_hi,delta_esc_pauc[<40]_ci_hi,delta_esc_pauc[all]_ci_hi,delta_macro_f1_ci_hi,tau_frozen,burden_intended_frozen,burden_realized_frozen,overall_sens_frozen,under40_sens_frozen
N0_incumbent,convnext_tiny_best.HAM-only.pt,ham_val,own_argmax,0.7481934348860028,0.7616002134855755,366,0.2389033942558746,0.7742733457019171,0.843915343915344,0.7834257383516366,0.8402029161833084,0.0,0.0,0.6363636363636364,22,366,0.6363636363636364,0.7922077922077922,,,,,,,,,,,,,,,,,,,,,,,
convnext_tiny-v2_n3_best,convnext_tiny-v2_n3_best.pt,ham_val,matched_budget,0.7199735943547289,0.6985084133418591,351,0.2291122715404699,0.782519068233354,0.8559509273794987,0.8199657035220529,0.8552607069763931,0.0,0.0,0.5909090909090909,22,366,0.6363636363636364,0.7922077922077922,0.0,0.0,0.0,0.0082457225314369,0.0150577907930846,-0.0282198405312739,0.0,0.0,-0.150281425891182,-0.0314076540153096,0.0012054114256219,-0.0746505608744712,0.0714285714285714,0.0,0.131290322580645,0.0483535847154673,0.0309348544346068,0.0142295975371915,,,,,
convnext_tiny-v2_n4_best,convnext_tiny-v2_n4_best.pt,ham_val,matched_budget,0.7239562880159333,0.7098401171466058,370,0.2415143603133159,0.7701504844361988,0.8532618175475317,0.7975456397862838,0.8490610469777138,0.0,0.0,0.5454545454545454,22,366,0.5454545454545454,0.7954545454545454,0.0,0.0,-0.0909090909090909,-0.0041228612657182,0.0088581307944053,-0.0242371468700695,0.0,0.0,-0.2205729166666666,-0.0509007458405048,-0.0019447936390154,-0.0736750799766615,0.0804411764705873,0.0909090909090909,0.0833333333333333,0.0504626951995373,0.0205797758964639,0.0204578869465042,,,,,
convnext_tiny-v2_n5_best,convnext_tiny-v2_n5_best.pt,ham_val,matched_budget,0.7247810660779326,0.7336022898812516,341,0.2225848563968668,0.7376829519686663,0.8509797081225652,0.8003518498773856,0.8430927505682408,0.0,0.0,0.4545454545454545,22,366,0.5,0.7922077922077922,0.0,0.0,-0.1363636363636363,-0.0365903937332507,0.0028898343849323,-0.0234123688080701,0.0,0.0,-0.3276785714285714,-0.0826527348266479,-0.0110671946133088,-0.0565000308349534,0.1704710144927534,0.0,0.12,0.0120081018518518,0.0178564945603601,0.0052939119884092,,,,,
N0_incumbent,convnext_tiny_best.HAM-only.pt,bcn20000,frozen_deployable,0.4069319507010706,0.4418706509352882,3949,0.32957769988315805,0.6962806270347621,0.7137080788615495,0.6419401490218422,0.7027444387713678,0.002710027100270962,-0.002710027100270962,0.4254742547425474,369,3949,0.41192411924119243,0.5231922536311104,,,,,,,,,,,,,,,,,,,0.45239526329090335,0.23890339425587467,0.3200634284760474,0.5103857566765578,0.4065040650406504
convnext_tiny-v2_n3_best,convnext_tiny-v2_n3_best.pt,bcn20000,frozen_deployable,0.4363074554618142,0.4254362614555448,4050,0.33800701051577364,0.7068149016565053,0.7298254057399309,0.6651395521165417,0.719661911630623,0.005420054200542035,-0.005420054200542035,0.4634146341463415,369,3949,0.44986449864498645,0.5316258004060597,0.002710027100271073,-0.002710027100271073,0.03794037940379402,0.010534274621743167,0.016917472859255156,0.02937550476074363,-0.007252114892779853,-0.0204394915861081,-0.008480556946331942,-0.0038234123210262585,0.009727596224428856,0.0159954916705398,0.012268384427308626,0.007888656332891205,0.06833143114062389,0.023365892237078162,0.024769379859779114,0.043209901994323986,0.37105265730510495,0.23890339425587467,0.357035553329995,0.5687958769326878,0.46612466124661245
convnext_tiny-v2_n4_best,convnext_tiny-v2_n4_best.pt,bcn20000,frozen_deployable,0.4193009892232598,0.4138026328543582,4219,0.35211150058420965,0.708424304723716,0.7322536645190179,0.6596733488499245,0.7187760746634988,0.0,0.005420054200541979,0.44986449864498645,369,3949,0.4363143631436314,0.5306887396532876,-0.002710027100270962,0.008130081300812941,0.02439024390243899,0.012143677688953858,0.01603163589213097,0.012369038522189235,-0.011602575262481226,-0.011324454546909777,-0.020591971544715464,-0.0019253809177544599,0.009247219650551461,-0.0015124046536751229,0.0,0.01923076923076922,0.052362955433481864,0.024843342703975497,0.022654180349421932,0.025944658220718515,0.5082505894703281,0.23890339425587467,0.34368218995159405,0.5505231922536311,0.45257452574525747
convnext_tiny-v2_n5_best,convnext_tiny-v2_n5_best.pt,bcn20000,frozen_deployable,0.422909739781645,0.4613524120954568,4130,0.34468369220497413,0.7117469433140866,0.7255374959910511,0.6550659575699144,0.7123622616789539,0.0027100271002710175,-0.0027100271002710175,0.45799457994579945,369,3949,0.43902439024390244,0.5292831485241293,5.551115123125783e-17,-5.551115123125783e-17,0.027100271002710008,0.015466316279324488,0.00961782290758606,0.0159777890805744,-0.010474232456140377,-0.017708333333333357,-0.020030085959885403,-0.0008088477500925389,0.0029379509614191196,0.0061856924372596074,0.007557674737322992,0.012072770979020998,0.06244165753480253,0.030193934658988453,0.017157597295439503,0.026690673662968012,0.2647299062334215,0.23890339425587467,0.3887497913536972,0.6053412462908012,0.5040650406504065
