cohort,alpha,k_reg,raps_lambda,n_cal,n_cal_under40,frr_mondrian_point,frr_mondrian_k,frr_mondrian_n,frr_mondrian_ci_lo,frr_mondrian_ci_hi,frr_bipartite_point,frr_bipartite_k,frr_bipartite_n,frr_bipartite_ci_lo,frr_bipartite_ci_hi,diff_point,diff_ci_lo,diff_ci_hi,p_two_sided,bipartite_backed_off_cells,bipartite_degenerate_cells,p_holm,significant_holm
ham_oof,0.05,1,0.05,3468,624,0.0,0,29,0.0,0.11944486906950269,0.0,0,29,0.0,0.11944486906950269,0.0,0.0,0.0,1.0,unknown/1,,1.0,False
ham_oof,0.1,1,0.2,3468,624,0.20689655172413793,6,29,0.07994184887608012,0.3972469492272395,0.034482758620689655,1,29,0.0008726468835799229,0.1776442954887229,-0.1724137931034483,-0.3214285714285714,-0.03571428571428571,0.022,unknown/1,,0.044,True
