attribute,group,n,n_escalating,macro_f1,balanced_accuracy,escalation_sensitivity,escalation_fpr,missed_serious,predicted_escalate_rate,abstention_rate,adequately_powered,positives_powered
fitzpatrick,I,137,129,0.08869866175639518,0.3036237623762376,0.3488372093023256,0.0,84,0.3284671532846715,,True,True
fitzpatrick,II,750,693,0.09666046415002424,0.2944330798182909,0.28715728715728717,0.03508771929824561,494,0.268,,True,True
fitzpatrick,III,347,316,0.11040456366716167,0.3041359878492898,0.2468354430379747,0.03225806451612903,238,0.2276657060518732,,True,True
fitzpatrick,IV,59,36,0.15224489795918367,0.2787878787878788,0.2777777777777778,0.0,26,0.1694915254237288,,True,True
fitzpatrick,V,8,6,0.047619047619047616,0.25,0.5,0.0,3,0.375,,False,False
fitzpatrick,VI,1,0,0.0,0.0,,0.0,0,0.0,,False,False
fitzpatrick,unknown,804,447,0.1033525341420521,0.393029689633343,0.053691275167785234,0.0196078431372549,423,0.03855721393034826,,True,True
