centre,arm,macro_f1,balanced_accuracy,n_escalating|all,sensitivity|all,missed_serious|all,specificity|all,referral_rate|all,nnb_pi0.03|all,n_escalating|<40,sensitivity|<40,missed_serious|<40,specificity|<40,referral_rate|<40,nnb_pi0.03|<40,n_escalating|40-59,sensitivity|40-59,missed_serious|40-59,specificity|40-59,referral_rate|40-59,nnb_pi0.03|40-59,n_escalating|60+,sensitivity|60+,missed_serious|60+,specificity|60+,referral_rate|60+,nnb_pi0.03|60+
bcn20000,A0,0.4056818859570473,0.43879634064909057,2158,0.39620018535681184,1303,0.9587750294464076,0.23988589211618258,4.364311183665222,255,0.32941176470588235,171,0.9837067209775967,0.12332439678284182,2.599262923091844,562,0.3736654804270463,352,0.9818181818181818,0.17462803445575567,2.573275613275613,1327,0.4212509419743783,768,0.8979166666666667,0.3364692861095739,8.8354589047903
bcn20000,P0,0.44763285358108984,0.4483225226334455,2158,0.5898980537534755,885,0.8351001177856302,0.40274896265560167,10.038447956115522,255,0.4,153,0.9653767820773931,0.15951742627345844,3.7987101154107266,562,0.7206405693950177,157,0.7566433566433567,0.4534064212999217,11.918801692135027,1327,0.5681989449886963,573,0.81875,0.4654122855561704,11.314022435897439
bcn20000,PC,0.448136895904418,0.44600761726635146,2158,0.6070435588507878,848,0.8244994110718492,0.4170124481327801,10.347795490578648,255,0.615686274509804,98,0.8594704684317719,0.30294906166219837,8.380038138726375,562,0.702846975088968,167,0.8013986013986014,0.4205168363351605,10.136334720132188,1327,0.5629238884702336,580,0.8229166666666666,0.460431654676259,11.171347426744013
bcn20000,P1,0.4393919847803245,0.4449662333046284,2158,0.5681186283595923,932,0.8551236749116607,0.3817427385892116,9.245345738293011,255,0.615686274509804,98,0.8594704684317719,0.30294906166219837,8.380038138726375,562,0.6405693950177936,202,0.8615384615384616,0.3594361785434612,7.988974358974359,1327,0.5259984928409948,629,0.8416666666666667,0.42833425567238514,10.73281200254696
bcn20000,P2,0.4393919847803245,0.4449662333046284,2158,0.5681186283595923,932,0.8551236749116607,0.3817427385892116,9.245345738293011,255,0.615686274509804,98,0.8594704684317719,0.30294906166219837,8.380038138726375,562,0.6405693950177936,202,0.8615384615384616,0.3594361785434612,7.988974358974359,1327,0.5259984928409948,629,0.8416666666666667,0.42833425567238514,10.73281200254696
bcn20000,P2r,0.43970155561926066,0.44524790064877295,2158,0.5685820203892493,931,0.8557126030624264,0.3817427385892116,9.205135466273983,255,0.615686274509804,98,0.8594704684317719,0.30294906166219837,8.380038138726375,562,0.6423487544483986,201,0.862937062937063,0.3594361785434612,7.899214174560435,1327,0.5259984928409948,629,0.8416666666666667,0.42833425567238514,10.73281200254696
mskcc,A0,0.2557004283194759,0.544889465880032,182,0.34065934065934067,120,0.9539568345323741,0.10718358038768529,5.3701400170186435,24,0.4583333333333333,13,0.9759615384615384,0.06896551724137931,2.695804195804196,36,0.3055555555555556,25,0.9669811320754716,0.07258064516129033,4.493996569468268,101,0.3069306930693069,70,0.916256157635468,0.15789473684210525,9.821918533820647
mskcc,P0,0.24172624171737006,0.5131012855069459,182,0.45604395604395603,99,0.8287769784172662,0.23033067274800456,13.139643465950131,24,0.5,12,0.9471153846153846,0.09913793103448276,4.419871794871795,36,0.4722222222222222,19,0.7169811320754716,0.31048387096774194,20.37846836847947,101,0.38613861386138615,62,0.8472906403940886,0.23026315789473684,13.787124752641994
mskcc,PC,0.24058969015610512,0.5096719318417432,182,0.44505494505494503,101,0.818705035971223,0.23603192702394526,14.171116440181187,24,0.625,9,0.8509615384615384,0.19827586206896552,8.710256410256411,36,0.4166666666666667,21,0.75,0.27419354838709675,20.4,101,0.37623762376237624,63,0.8522167487684729,0.2236842105263158,13.700285195747991
mskcc,P1,0.2550995761858382,0.5379333716597867,182,0.47802197802197804,95,0.8575539568345324,0.2120866590649943,10.635028528901017,24,0.625,9,0.8509615384615384,0.19827586206896552,8.710256410256411,36,0.3888888888888889,22,0.8867924528301887,0.1532258064516129,10.412398921832885,101,0.44554455445544555,56,0.8226600985221675,0.26644736842105265,13.869622331691296
mskcc,P2,0.24702390732788038,0.5212256297161958,182,0.43956043956043955,102,0.8446043165467626,0.21436716077537057,12.43064748201439,24,0.625,9,0.8509615384615384,0.19827586206896552,8.710256410256411,36,0.3888888888888889,22,0.8349056603773585,0.1975806451612903,14.726415094339623,101,0.37623762376237624,63,0.8522167487684729,0.2236842105263158,13.700285195747991
mskcc,P2r,0.24634126031003598,0.5200821191387229,182,0.43956043956043955,102,0.841726618705036,0.21664766248574688,12.642326139088729,24,0.625,9,0.8509615384615384,0.19827586206896552,8.710256410256411,36,0.3888888888888889,22,0.8254716981132075,0.2056451612903226,15.510781671159032,101,0.37623762376237624,63,0.8522167487684729,0.2236842105263158,13.700285195747991
