timestamp,run_name,arch,dataset,class_mapping_version,split_file,image_size,augmentation,optimizer,head_lr,finetune_lr,batch_size,epochs_run,weight_decay,class_weighting,seed,monitor_metric,best_val_metric,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,params_total,model_size_mb,train_time_seconds,inference_ms_per_image,device,checkpoint,notes
2026-08-12 05:38:45,efficientnet_b3_padwarm_seed42,efficientnet_b3,data/ham10000,1.0.0,ml/configs/splits/split_pad_only.csv,224,"{""random_resized_crop_scale"": [0.8, 1.0], ""horizontal_flip"": 0.5, ""vertical_flip"": 0.5, ""rotation_degrees"": 20, ""brightness"": 0.15, ""contrast"": 0.15, ""saturation"": 0.1, ""hue"": 0.02}",adamw,0.001,0.0001,32,22,0.0001,effective_number,42,macro_f1,0.5353740819384413,,,,,10706991,41.18,398.6,,cuda,ml/checkpoints/efficientnet_b3_best.pt,
2026-08-12 05:46:30,resnet50_padwarm_seed42,resnet50,data/ham10000,1.0.0,ml/configs/splits/split_pad_only.csv,224,"{""random_resized_crop_scale"": [0.8, 1.0], ""horizontal_flip"": 0.5, ""vertical_flip"": 0.5, ""rotation_degrees"": 20, ""brightness"": 0.15, ""contrast"": 0.15, ""saturation"": 0.1, ""hue"": 0.02}",adamw,0.001,0.0001,32,19,0.0001,effective_number,42,macro_f1,0.5373312559071757,,,,,23522375,89.93,336.1,,cuda,ml/checkpoints/resnet50_best.pt,
2026-08-12 14:22:21,convnext_tiny_padwarm_seed42,convnext_tiny,data/ham10000,1.0.0,ml/configs/splits/split_pad_only.csv,224,"{""random_resized_crop_scale"": [0.8, 1.0], ""horizontal_flip"": 0.5, ""vertical_flip"": 0.5, ""rotation_degrees"": 20, ""brightness"": 0.15, ""contrast"": 0.15, ""saturation"": 0.1, ""hue"": 0.02}",adamw,0.001,0.0001,16,23,0.0001,effective_number,42,macro_f1,0.5702065592266471,,,,,27825511,106.15,327.7,,cuda,ml/checkpoints/convnext_tiny_best.pt,
2026-08-12 14:33:19,convnext_small_padwarm_seed42,convnext_small,data/ham10000,1.0.0,ml/configs/splits/split_pad_only.csv,224,"{""random_resized_crop_scale"": [0.8, 1.0], ""horizontal_flip"": 0.5, ""vertical_flip"": 0.5, ""rotation_degrees"": 20, ""brightness"": 0.15, ""contrast"": 0.15, ""saturation"": 0.1, ""hue"": 0.02}",adamw,0.001,0.0001,16,22,0.0001,effective_number,42,macro_f1,0.5496308369024543,,,,,49460071,188.68,335.8,,cuda,ml/checkpoints/convnext_small_best.pt,
2026-08-12 14:56:58,densenet121_padwarm_seed42,densenet121,data/ham10000,1.0.0,ml/configs/splits/split_pad_only.csv,224,"{""random_resized_crop_scale"": [0.8, 1.0], ""horizontal_flip"": 0.5, ""vertical_flip"": 0.5, ""rotation_degrees"": 20, ""brightness"": 0.15, ""contrast"": 0.15, ""saturation"": 0.1, ""hue"": 0.02}",adamw,0.001,0.0001,32,20,0.0001,effective_number,42,macro_f1,0.5473128179010532,,,,,6961031,26.87,377.3,,cuda,ml/checkpoints/densenet121_best.pt,
2026-08-12 16:02:12,resnet50_combined,resnet50,data/ham10000,1.0.0,ml/configs/splits/split_combined.csv,224,"{""random_resized_crop_scale"": [0.8, 1.0], ""horizontal_flip"": 0.5, ""vertical_flip"": 0.5, ""rotation_degrees"": 20, ""brightness"": 0.15, ""contrast"": 0.15, ""saturation"": 0.1, ""hue"": 0.02}",adamw,0.001,0.0001,32,16,0.0001,effective_number,42,macro_f1,0.7408449513152341,,,,,23522375,89.93,604.3,,cuda,ml/checkpoints/resnet50_best.pt,HAM+PAD combined training
2026-08-12 16:40:23,efficientnet_b0_combined,efficientnet_b0,data/ham10000,1.0.0,ml/configs/splits/split_combined.csv,224,"{""random_resized_crop_scale"": [0.8, 1.0], ""horizontal_flip"": 0.5, ""vertical_flip"": 0.5, ""rotation_degrees"": 20, ""brightness"": 0.15, ""contrast"": 0.15, ""saturation"": 0.1, ""hue"": 0.02}",adamw,0.001,0.0001,32,30,0.0001,effective_number,42,macro_f1,0.741026341170317,,,,,4016515,15.48,1182.2,,cuda,ml/checkpoints/efficientnet_b0_best.pt,HAM+PAD combined training
2026-08-12 17:34:23,efficientnet_b3_combined,efficientnet_b3,data/ham10000,1.0.0,ml/configs/splits/split_combined.csv,224,"{""random_resized_crop_scale"": [0.8, 1.0], ""horizontal_flip"": 0.5, ""vertical_flip"": 0.5, ""rotation_degrees"": 20, ""brightness"": 0.15, ""contrast"": 0.15, ""saturation"": 0.1, ""hue"": 0.02}",adamw,0.001,0.0001,32,23,0.0001,effective_number,42,macro_f1,0.7499728308671142,,,,,10706991,41.18,855.3,,cuda,ml/checkpoints/efficientnet_b3_best.pt,HAM+PAD combined training
2026-08-12 17:56:59,densenet121_combined,densenet121,data/ham10000,1.0.0,ml/configs/splits/split_combined.csv,224,"{""random_resized_crop_scale"": [0.8, 1.0], ""horizontal_flip"": 0.5, ""vertical_flip"": 0.5, ""rotation_degrees"": 20, ""brightness"": 0.15, ""contrast"": 0.15, ""saturation"": 0.1, ""hue"": 0.02}",adamw,0.001,0.0001,32,26,0.0001,effective_number,42,macro_f1,0.7430352931870362,,,,,6961031,26.87,1071.5,,cuda,ml/checkpoints/densenet121_best.pt,HAM+PAD combined training
2026-09-03 18:10:12,smoke_swinv2_tiny,swinv2_tiny,data/ham10000,1.0.0,ml/configs/splits/split_v1.csv,224,"{""random_resized_crop_scale"": [0.8, 1.0], ""horizontal_flip"": 0.5, ""vertical_flip"": 0.5, ""rotation_degrees"": 20, ""brightness"": 0.15, ""contrast"": 0.15, ""saturation"": 0.1, ""hue"": 0.02}",adamw,0.001,0.0001,32,1,0.0001,effective_number,42,macro_f1,0.3979996524393222,,,,,27569851,106.23,209.5,,cuda,ml/checkpoints/swinv2_tiny_best.pt,
