,convnext_tiny,convnext_small,densenet121,efficientnet_b0,efficientnet_b3,resnet50
convnext_tiny,1.0,0.9304108796296297,0.8915819212011847,0.8975872299088976,0.8964228510411105,0.9168361535958347
convnext_small,0.9304108796296297,1.0,0.8782172852885397,0.8931864924036357,0.8877060439560439,0.9154767975522693
densenet121,0.8915819212011847,0.8782172852885397,1.0,0.8891788653318635,0.8919730639025947,0.8710999870538989
efficientnet_b0,0.8975872299088976,0.8931864924036357,0.8891788653318635,1.0,0.9223324878721466,0.9080315851121837
efficientnet_b3,0.8964228510411105,0.8877060439560439,0.8919730639025947,0.9223324878721466,1.0,0.8887424088521968
resnet50,0.9168361535958347,0.9154767975522693,0.8710999870538989,0.9080315851121837,0.8887424088521968,1.0
