,convnext_tiny,convnext_small,densenet121,efficientnet_b0,efficientnet_b3,resnet50
convnext_tiny,1.0,0.10052219321148825,0.09986945169712794,0.09986945169712794,0.09660574412532637,0.1031331592689295
convnext_small,0.10052219321148825,1.0,0.09203655352480418,0.09399477806788512,0.09007832898172324,0.097911227154047
densenet121,0.09986945169712794,0.09203655352480418,1.0,0.1031331592689295,0.10052219321148825,0.09725848563968668
efficientnet_b0,0.09986945169712794,0.09399477806788512,0.1031331592689295,1.0,0.10704960835509138,0.10443864229765012
efficientnet_b3,0.09660574412532637,0.09007832898172324,0.10052219321148825,0.10704960835509138,1.0,0.09660574412532637
resnet50,0.1031331592689295,0.097911227154047,0.09725848563968668,0.10443864229765012,0.09660574412532637,1.0
