split,source,group,n,n_lesions,accuracy,mean_confidence,signed_gap,signed_gap_ci_lo,signed_gap_ci_hi,ece,ece_ci_lo,ece_ci_hi,accuracy_ci_lo,accuracy_ci_hi,accuracy_interval_method,adequately_powered
oof,uncalibrated,40-59,3112,2522,0.9000642673521851,0.7098589267576425,-0.19020534059454264,-0.2012992753552972,-0.1781092488562645,0.19086935289788454,0.18066410565291952,0.2027081759079414,0.8861282709263488,0.9129152972714112,grouped_bootstrap,True
oof,uncalibrated,60+,2512,1765,0.7906050955414012,0.6715185824050225,-0.11908651313637875,-0.1366978525296703,-0.10077123674978629,0.12005023919580023,0.10396844222270499,0.13753682148371169,0.7696217834960071,0.8106350500683365,grouped_bootstrap,True
oof,uncalibrated,<40,1319,907,0.9302501895375285,0.7012794572976623,-0.2289707322398662,-0.24586737416277735,-0.21280924952992905,0.22897073223986614,0.2138147279048762,0.2465029200415039,0.9121226170939518,0.9476488303834908,grouped_bootstrap,True
oof,uncalibrated,unknown,38,35,0.8947368421052632,0.721349974118421,-0.17338686798684222,-0.2520076117968282,-0.07752522054302097,0.2572554777149122,0.23586800196234162,0.2967879897417683,0.7631578947368421,1.0,grouped_bootstrap,True
oof,uncalibrated,ALL,6981,5229,0.8663515255694026,0.6945043062975672,-0.17184721927183544,-0.18043178813116909,-0.16316398586039108,0.17214601536455384,0.1639518217460188,0.1809926378919214,0.8566932424457263,0.8766758197078248,grouped_bootstrap,True
oof,dirichlet,40-59,3112,2522,0.9039203084832905,0.9084484432428763,0.0045281347595858,-0.006441958612498077,0.016002301213505956,0.026036152690649066,0.019732049395350275,0.03778293817240725,0.8899349168373419,0.9169861714483966,grouped_bootstrap,True
oof,dirichlet,60+,2512,1765,0.7894108280254777,0.8304096310838922,0.040998803058414524,0.02388241497178875,0.058831573267088134,0.041028302670776395,0.030148382469702344,0.06095133140067164,0.7686501327965164,0.8097569022316937,grouped_bootstrap,True
oof,dirichlet,<40,1319,907,0.9347990902198635,0.9078750637549599,-0.02692402646490366,-0.0423898582249054,-0.011676700158938203,0.027632982983085412,0.021864658750033697,0.045086200726522745,0.9175015481484379,0.95140838634361,grouped_bootstrap,True
oof,dirichlet,unknown,38,35,0.9473684210526315,0.9173482829337737,-0.030020138118857842,-0.08985739592755768,0.038188173569593725,0.08132779803604406,0.04055877789320775,0.13880468895747336,0.8648648648648649,1.0,grouped_bootstrap,True
oof,dirichlet,ALL,6981,5229,0.8687867067755336,0.8803075479872288,0.011520841211695165,0.003021581005959475,0.020541046861311887,0.024601595175063624,0.017902339125997684,0.03266013352939834,0.8588911569245002,0.8790681275159778,grouped_bootstrap,True
val,uncalibrated,40-59,697,558,0.8981348637015782,0.735628592143233,-0.1625062715583453,-0.18538601504373636,-0.13873591886281855,0.16927523894571972,0.15110335391929305,0.1916146586055799,0.8711025577862627,0.9243943452874631,grouped_bootstrap,True
val,uncalibrated,60+,558,374,0.8172043010752689,0.6912025992721027,-0.12600170180316617,-0.16153383900868157,-0.08973958004010026,0.1292195124244325,0.10669462207226799,0.16683937185595954,0.7761928680274486,0.858131790884686,grouped_bootstrap,True
val,uncalibrated,<40,267,179,0.9138576779026217,0.7207260460855179,-0.1931316318171038,-0.2307546054830344,-0.148158913592734,0.19313163181710363,0.1562898242564586,0.23250798012255497,0.8679245283018868,0.9541984732824428,grouped_bootstrap,True
val,uncalibrated,unknown,10,9,1.0,0.7785419998333333,-0.22145800016666672,-0.25904052260416666,-0.18098673368981497,0.22145800016666672,0.1809867336898149,0.25904052260416666,0.6915028921812392,1.0,clopper_pearson,False
val,uncalibrated,ALL,1532,1120,0.8720626631853786,0.7171301915279591,-0.15493247165741952,-0.17344610743316488,-0.13653191807456397,0.15628524131886426,0.14042344124412515,0.17582296719996085,0.851306250933921,0.8930215487914174,grouped_bootstrap,True
val,dirichlet,40-59,697,558,0.890961262553802,0.9123327402950726,0.021371477741270573,-0.0009311536460383648,0.04484496539840534,0.04583850865138031,0.03009128958271148,0.06847009827894537,0.8622122355015673,0.9188406793852042,grouped_bootstrap,True
val,dirichlet,60+,558,374,0.7974910394265233,0.8274815707576074,0.02999053133108409,-0.004263562043390499,0.06572304832881481,0.04163178106664361,0.030118606711028173,0.07931021231111518,0.7565567487018773,0.8386539121482498,grouped_bootstrap,True
val,dirichlet,<40,267,179,0.9325842696629213,0.8997775605766566,-0.03280670908626471,-0.06995247327329142,0.010645573235777793,0.037890116040729324,0.03161727991913071,0.08100300741007803,0.8897058823529411,0.9691119691119691,grouped_bootstrap,True
val,dirichlet,unknown,10,9,1.0,0.9597345261648693,-0.04026547383513068,-0.06521380145144283,-0.017594838867876415,0.04026547383513082,0.01759483886787641,0.06521380145144295,0.6915028921812392,1.0,clopper_pearson,False
val,dirichlet,ALL,1532,1120,0.8648825065274152,0.879548688253281,0.014666181725865868,-0.003550352794170589,0.03277413349850087,0.02527333640308585,0.01898377983047695,0.04400534660802404,0.8443839199591069,0.887100171429766,grouped_bootstrap,True
