probe,metric,chance,n,interior,exterior,delta,delta_ci_lo,delta_ci_hi,separated,verdict,promote_r3,reading,quantity,value,ci_lo,ci_hi,exceeds_mcid,control,area_predicts_age,large_minus_small,rises_with_area,published_interior,published_exterior,got_interior,got_exterior,abs_drift_interior,abs_drift_exterior,tolerance,reproduced
age_band_locus,macro_ovr_auc,0.5,6927.0,0.6694579641870334,0.6991299579447983,0.02967199375776486,0.017398434146065993,0.04237728071741727,True,CO_LOCATED,False,"age is encoded about equally in both blocks at this instrument's resolution, so no mask can remove it selectively and R3 is DEMOTED -- but receptive-field bleed shrinks this contrast toward zero, so this is a limit of the probe, NOT evidence that age is genuinely co-located",,,,,,,,,,,,,,,,,
age_residual_locus,class_stratified_spearman,0.0,6927.0,0.15184058284375168,0.15359974961955672,0.0017591667758050378,-0.031247988700896286,0.03581238074041042,False,,,the escalation score tracks age read from peri-lesional skin more strongly than age read from the lesion,,,,,,,,,,,,,,,,,
escalation_locus,escalation_auc,0.5,6927.0,0.8743500753757164,0.870871303435406,-0.0034787719403104322,-0.017221724848171308,0.011015339030755187,False,,,,,,,,,,,,,,,,,,,,
,delta_age_auc - delta_escalation_auc,,,,,,,,True,,,"peri-lesional skin carries age more than it carries the diagnosis, so an exterior dropout would remove more nuisance than signal",selectivity_margin,0.03315076569807529,0.014693567657079215,0.05223635144116427,False,,,,,,,,,,,,
,macro_ovr_auc,0.5,6927.0,,,,,,,,,"lesion AREA alone predicts age band above chance -- part of what both blocks read is geometry, which no exterior dropout removes",,0.5483349695531273,0.536755256228575,0.5599385472982392,,geometry,True,,,,,,,,,,
,,,,,,,,,,,,"exterior age AUC is FLAT in lesion area -- the interval on large-minus-small contains zero, and receptive-field bleed cannot produce a flat profile, since a larger lesion necessarily fills more of every exterior cell's receptive field. The exterior block is reading the surrounding skin, not an echo of the lesion.",,,-0.02074353848786552,0.03014585210667501,,bleed,,0.004656405174989997,False,,,,,,,,
,,,,,,,,,,,,,,,,,,reproduce_s42,,,,0.8714,0.8608,0.8714269600262283,0.8608360557750026,2.6960026228373124e-05,3.6055775002541424e-05,0.0005,True
