quantity,value,n_positives,split,source,ci_lo,ci_hi,half_width,n_lesions,ci_lo_lesion,ci_hi_lesion,half_width_lesion,retired_descriptive_only,resolves_mcid_010
"test <40 escalation sensitivity, argmax",0.1428571428571428,21,test,results/session9/agerule_test.csv,0.03048896762151556,0.363423987016981,0.16646750969773272,10,0.0025285785444617865,0.4450161170281954,0.22124376924186678,True,False
"test <40 escalation sensitivity, lambda rule",0.238095238095238,21,test,results/session9/agerule_test.csv,0.08217587559302258,0.4716598276546214,0.1947419760307994,10,0.025210726326833386,0.5560954623076415,0.26544236799040405,True,False
val <40 escalation sensitivity (S5/S7),0.5454545454545454,22,val,results/age_band_prior.csv,0.3221047545531717,0.7561381340769835,0.21701668976190588,10,0.18708602844739855,0.8129139715526015,0.3129139715526015,True,False
"S44 control, published checkpoint",0.6363636363636364,22,val,results/v3/s44_control_and_multiplicity.json,0.40657666882564664,0.8280205623536676,0.2107219467640105,10,0.2623780766069451,0.8784477418801728,0.30803483263661385,True,False
"S44 control, identical-data retrain",0.4090909090909091,22,val,results/v3/s44_control_and_multiplicity.json,0.2070931229971492,0.6364530382702687,0.21467995763655973,10,0.1215522581198272,0.7376219233930549,0.30803483263661385,True,False
"OOF <40 escalation sensitivity (S5/S7, better powered)",0.546875,64,train,results/age_band_prior.csv,0.4174763153160475,0.6717928854962819,0.1271582850901172,34,0.37885764395707144,0.728149803585133,0.1746460798140308,False,False
