arm,age,lambda_point,boot_median,boot_lo,boot_hi
A2,30,0.65,0.64,0.26,0.76
A2,31,0.65,0.64,0.26,0.76
A2,32,0.65,0.64,0.26,0.76
A2,33,0.65,0.64,0.26,0.76
A2,34,0.65,0.64,0.26,0.76
A2,35,0.19,0.57,0.0,0.7612499999999989
A2,36,0.19,0.57,0.0,0.7612499999999989
A2,37,0.19,0.57,0.0,0.7612499999999989
A2,38,0.19,0.57,0.0,0.7612499999999989
A2,39,0.19,0.57,0.0,0.7612499999999989
A2,40,0.54,0.54,0.16,0.78
A2,41,0.54,0.54,0.16,0.78
A2,42,0.54,0.54,0.16,0.78
A2,43,0.54,0.54,0.16,0.78
A2,44,0.54,0.54,0.16,0.78
A2,45,0.71,0.71,0.48,0.87
A2,46,0.71,0.71,0.48,0.87
A2,47,0.71,0.71,0.48,0.87
A2,48,0.71,0.71,0.48,0.87
A2,49,0.71,0.71,0.48,0.87
A2,50,0.83,0.67,0.6295000000000001,0.86
A2,51,0.83,0.67,0.6295000000000001,0.86
A2,52,0.83,0.67,0.6295000000000001,0.86
A2,53,0.83,0.67,0.6295000000000001,0.86
A2,54,0.83,0.67,0.6295000000000001,0.86
A2,55,0.56,0.56,0.49,0.72
A2,56,0.56,0.56,0.49,0.72
A2,57,0.56,0.56,0.49,0.72
A2,58,0.56,0.56,0.49,0.72
A2,59,0.56,0.56,0.49,0.72
A2,60,0.53,0.52,0.4,0.63
A2,61,0.53,0.52,0.4,0.63
A2,62,0.53,0.52,0.4,0.63
A2,63,0.53,0.52,0.4,0.63
A2,64,0.53,0.52,0.4,0.63
A2,65,0.53,0.51,0.34,0.6907499999999993
A2,66,0.53,0.51,0.34,0.6907499999999993
A2,67,0.53,0.51,0.34,0.6907499999999993
A2,68,0.53,0.51,0.34,0.6907499999999993
A2,69,0.53,0.51,0.34,0.6907499999999993
A2,70,0.27,0.27,0.06,0.45
A2,71,0.27,0.27,0.06,0.45
A2,72,0.27,0.27,0.06,0.45
A2,73,0.27,0.27,0.06,0.45
A2,74,0.27,0.27,0.06,0.45
A2,75,0.1,0.1,0.0,0.43
A2,76,0.1,0.1,0.0,0.43
A2,77,0.1,0.1,0.0,0.43
A2,78,0.1,0.1,0.0,0.43
A2,79,0.1,0.1,0.0,0.43
A2,80,0.04,0.04,0.0,0.23
A2,81,0.04,0.04,0.0,0.23
A2,82,0.04,0.04,0.0,0.23
A2,83,0.04,0.04,0.0,0.23
A2,84,0.04,0.04,0.0,0.23
A2,85,0.04,0.04,0.0,0.23
A3,0,0.66,0.66,0.59,0.69
A3,1,0.66,0.66,0.59,0.69
A3,2,0.66,0.66,0.59,0.69
A3,3,0.66,0.66,0.59,0.69
A3,4,0.66,0.66,0.59,0.69
A3,5,0.66,0.66,0.59,0.69
A3,6,0.66,0.66,0.59,0.69
A3,7,0.66,0.66,0.59,0.69
A3,8,0.66,0.66,0.59,0.69
A3,9,0.66,0.66,0.59,0.69
A3,10,0.66,0.66,0.59,0.69
A3,11,0.66,0.66,0.59,0.6880499999999999
A3,12,0.66,0.66,0.59,0.6860999999999998
A3,13,0.66,0.66,0.59,0.6841499999999999
A3,14,0.66,0.66,0.59,0.6821999999999999
A3,15,0.66,0.66,0.59,0.6802499999999998
A3,16,0.66,0.66,0.59,0.6800999999999999
A3,17,0.66,0.66,0.59,0.68
A3,18,0.66,0.66,0.59,0.68
A3,19,0.66,0.66,0.59,0.68
A3,20,0.66,0.66,0.59,0.68
A3,21,0.66,0.66,0.59,0.68
A3,22,0.66,0.66,0.59,0.68
A3,23,0.66,0.66,0.59,0.68
A3,24,0.66,0.66,0.59,0.68
A3,25,0.66,0.66,0.59,0.68
A3,26,0.66,0.66,0.59,0.68
A3,27,0.66,0.66,0.59,0.68
A3,28,0.66,0.66,0.59,0.68
A3,29,0.66,0.66,0.59,0.68
A3,30,0.66,0.66,0.59,0.68
A3,31,0.66,0.658,0.59,0.68
A3,32,0.66,0.656,0.59,0.68
A3,33,0.66,0.654,0.59,0.68
A3,34,0.66,0.652,0.59,0.68
A3,35,0.66,0.65,0.59,0.68
A3,36,0.66,0.65,0.59,0.68
A3,37,0.66,0.65,0.59,0.68
A3,38,0.66,0.651,0.59,0.68
A3,39,0.66,0.651,0.59,0.68
A3,40,0.66,0.65,0.59,0.68
A3,41,0.66,0.65,0.59,0.68
A3,42,0.66,0.65,0.59,0.68
A3,43,0.66,0.65,0.59,0.68
A3,44,0.66,0.65,0.59,0.68
A3,45,0.66,0.65,0.59,0.68
A3,46,0.658,0.65,0.59,0.68
A3,47,0.656,0.65,0.59,0.68
A3,48,0.654,0.65,0.59,0.68
A3,49,0.652,0.65,0.59,0.68
A3,50,0.65,0.65,0.59,0.68
A3,51,0.65,0.65,0.59,0.68
A3,52,0.65,0.65,0.59,0.68
A3,53,0.65,0.65,0.59,0.68
A3,54,0.65,0.65,0.59,0.68
A3,55,0.65,0.65,0.59,0.68
A3,56,0.5880000000000001,0.586,0.5279499999999999,0.62805
A3,57,0.526,0.52,0.46194999999999997,0.5840000000000001
A3,58,0.464,0.45999999999999996,0.38795,0.53805
A3,59,0.402,0.4,0.31394999999999995,0.49405
A3,60,0.34,0.34,0.24,0.45000000000000007
A3,61,0.34,0.33999999999999997,0.23975000000000002,0.45000000000000007
A3,62,0.34,0.33999999999999997,0.23975000000000002,0.45000000000000007
A3,63,0.34,0.33999999999999997,0.23975000000000002,0.45000000000000007
A3,64,0.34,0.33999999999999997,0.23975000000000002,0.45000000000000007
A3,65,0.34,0.33999999999999997,0.23975000000000002,0.45000000000000007
A3,66,0.34,0.336,0.23780000000000007,0.45000000000000007
A3,67,0.34,0.332,0.23585000000000006,0.45000000000000007
A3,68,0.34,0.33,0.23390000000000005,0.45000000000000007
A3,69,0.34,0.33,0.23195000000000005,0.45000000000000007
A3,70,0.34,0.33,0.23000000000000004,0.45000000000000007
A3,71,0.338,0.33,0.23000000000000004,0.45000000000000007
A3,72,0.336,0.33,0.23000000000000004,0.45000000000000007
A3,73,0.334,0.33,0.23000000000000004,0.45000000000000007
A3,74,0.332,0.33,0.23000000000000004,0.45000000000000007
A3,75,0.33,0.33,0.23000000000000004,0.45000000000000007
A3,76,0.33,0.33,0.23000000000000004,0.45000000000000007
A3,77,0.33,0.33,0.23000000000000004,0.45000000000000007
A3,78,0.33,0.33,0.23000000000000004,0.45000000000000007
A3,79,0.33,0.33,0.23000000000000004,0.45000000000000007
A3,80,0.33,0.33,0.23000000000000004,0.45000000000000007
A3,81,0.33,0.33,0.22995,0.45000000000000007
A3,82,0.33,0.33,0.2299,0.45000000000000007
A3,83,0.33,0.33,0.2279,0.45000000000000007
A3,84,0.33,0.33,0.22394999999999998,0.45000000000000007
A3,85,0.33,0.33,0.22000000000000003,0.45000000000000007
A4,0,0.5412965686381852,0.5546165197690446,0.29892273801617464,0.9238381486910742
A4,1,0.5379686458925179,0.551118806137423,0.30029883090003406,0.9088676463496895
A4,2,0.5346407231468506,0.5477089606763328,0.30028766777085514,0.8958622063739575
A4,3,0.5313128004011833,0.5440591079242516,0.3002765046416763,0.884195023284744
