cohort_set,arm,auc,ci_lo,ci_hi,n,within_modality_only,entangled,delta
ham_val_vs_bcn20000,raw,0.9904631939427344,0.9872534784133017,0.9933762044747888,5099,True,True,-0.01891166194906746
ham_val_vs_bcn20000,shades_of_grey,0.971551531993667,0.9635533922771364,0.9783060854333466,5099,True,True,-0.01891166194906746
ham_val_vs_mskcc,raw,0.9454243865424716,0.9335927169953655,0.9563528800479995,2406,True,True,-0.04848416840432346
ham_val_vs_mskcc,shades_of_grey,0.8969402181381482,0.8824120052814833,0.9110477860517808,2406,True,True,-0.04848416840432346
all_three,raw,0.965648811675402,0.960666914843075,0.9703462752813266,5973,True,True,-0.019614553607568697
all_three,shades_of_grey,0.9460342580678333,0.9395269473686354,0.9524663586060551,5973,True,True,-0.019614553607568697
