tertile,n,area_lo,area_hi,mean_area,exterior_age_auc,ci_lo,ci_hi
small,2309,0.006696428571428571,0.2668606505102041,0.15184413143776349,0.692639495963986,0.6816099718324307,0.7159414858912977
medium,2309,0.2669005102040816,0.5290377869897959,0.388235524423065,0.6977205582808971,0.6810941830404312,0.716867140812058
large,2309,0.5290776466836735,0.9998804209183674,0.7251801937819845,0.697295901138976,0.6817866664406258,0.7155728230210424
