cohort_set,arm,auc,ci_lo,ci_hi,n,within_modality_only,entangled,delta
ham_val_vs_bcn20000,raw,0.9904631939427344,0.9872534784133017,0.9933762044747888,5099,True,True,-0.03868326097729313
ham_val_vs_bcn20000,shades_of_grey,0.9517799329654413,0.9431121320324092,0.9603525832822442,5099,True,True,-0.03868326097729313
ham_val_vs_mskcc,raw,0.9454243865424716,0.9335927169953655,0.9563528800479995,2406,True,True,-0.07708884753033685
ham_val_vs_mskcc,shades_of_grey,0.8683355390121348,0.8508128100626482,0.8844338907617701,2406,True,True,-0.07708884753033685
all_three,raw,0.965648811675402,0.960666914843075,0.9703462752813266,5973,True,True,-0.05300468866335495
all_three,shades_of_grey,0.912644123012047,0.9041644832201244,0.920531975289366,5973,True,True,-0.05300468866335495
