split,arm,macro_f1,balanced_accuracy,sensitivity|all,specificity|all,referral_rate|all,missed_serious|all,expected_cost|all,nnb_pi0.03|all,sensitivity|<40,specificity|<40,referral_rate|<40,missed_serious|<40,expected_cost|<40,nnb_pi0.03|<40,sensitivity|40-59,specificity|40-59,referral_rate|40-59,missed_serious|40-59,expected_cost|40-59,nnb_pi0.03|40-59,sensitivity|60+,specificity|60+,referral_rate|60+,missed_serious|60+,expected_cost|60+,nnb_pi0.03|60+,crossfit_cost
oof_crossfit,A0,0.7776112023446365,0.7521189343973497,0.68952802359882,0.9550222222222222,0.1701761925225612,421,0.6155994843145681,3.109096993464052,0.546875,0.9729083665338646,0.0523123578468536,29,0.2482941622441243,2.6017605767406566,0.6120906801007556,0.972744014732965,0.1018637532133676,154,0.5215295629820051,2.4397815317534297,0.7334826427771557,0.9116738727609636,0.3176751592356688,238,0.9335191082802548,4.893586497492405,0.6155994843145681
oof_crossfit,A1,0.7645414943422898,0.7634543544536915,0.8436578171091446,0.8778666666666667,0.262283340495631,212,0.3980088812491047,5.680781351981352,0.609375,0.9545816733067728,0.0727824109173616,25,0.237680060652009,3.4098886505261,0.8967254408060453,0.8593001841620627,0.237146529562982,41,0.2617287917737789,6.073229595602181,0.8365061590145577,0.849289684990735,0.3945063694267516,146,0.6554538216560509,6.8253807212929685,0.3980088812491047
oof_crossfit,A2,0.7634035797353109,0.7603306263383721,0.8237463126843658,0.8782222222222222,0.2581292078498782,239,0.4308122045552213,5.779968566597035,0.6875,0.8796812749003984,0.1478392721758908,20,0.2680060652009098,6.658626101653991,0.8664987405541562,0.8913443830570903,0.2053341902313624,53,0.2729755784061696,5.054475923308635,0.8141097424412094,0.8548486720197653,0.3829617834394904,166,0.7167595541401274,6.764857029333292,0.4308122045552213
oof_crossfit,A3,0.7696538061596604,0.7671965618372225,0.838495575221239,0.8807111111111111,0.2589886835696892,219,0.4058874086807048,5.599913847356591,0.703125,0.8788844621513944,0.1493555724033358,19,0.2611827141774071,6.569520436771432,0.8614609571788413,0.8998158379373848,0.1973007712082262,55,0.2729755784061696,4.7602260203403945,0.8376259798432251,0.8499073502161828,0.3945063694267516,145,0.6510748407643312,6.79375018579502,0.4058874086807048
oof_crossfit,A4,0.7830097928969112,0.771563120940824,0.8075221238938053,0.9130666666666668,0.2269015900300816,261,0.4383326171035668,4.480826544901065,0.65625,0.9250996015936256,0.1031084154662623,22,0.2414708112206217,4.690330740529944,0.760705289672544,0.9451197053406998,0.1449228791773779,95,0.3594151670951157,3.3326548201269213,0.8387458006718925,0.8505250154416306,0.3945063694267516,144,0.6445063694267515,6.762204111006014,0.4383326171035668
oof_crossfit,A5,0.7758053135290875,0.768021916499335,0.8222713864306784,0.904,0.2370720527145108,241,0.4167024781549921,4.774909417040358,0.625,0.950597609561753,0.0773313115996967,24,0.2335102350265352,3.5557503320053123,0.836272040302267,0.9149171270718232,0.1809125964010282,65,0.2919344473007712,4.2896148128425295,0.8297872340425532,0.8499073502161828,0.3917197452229299,152,0.6721735668789809,6.848481968926687,0.4167024781549921
oof_crossfit,A6,0.7704014227874091,0.7665408695032391,0.831858407079646,0.8894222222222222,0.2506804182781836,228,0.4114740008594757,5.298024901497242,0.640625,0.90597609561753,0.1205458680818802,23,0.2672479150871872,5.745531694360768,0.8513853904282116,0.9075506445672192,0.1892673521850899,59,0.2774742930591259,4.51097852895558,0.8365061590145577,0.846201358863496,0.3964968152866242,146,0.6578423566878981,6.944753277057168,0.4114740008594757
oof_crossfit,A7,0.7699079927991034,0.7655938772980507,0.8281710914454278,0.8904888888888889,0.2491047127918636,233,0.416774101131643,5.275516612248936,0.640625,0.90597609561753,0.1205458680818802,23,0.2672479150871872,5.745531694360768,0.8513853904282116,0.9075506445672192,0.1892673521850899,59,0.2774742930591259,4.51097852895558,0.8309070548712206,0.8499073502161828,0.3921178343949044,151,0.6725716560509554,6.840599917755627,0.416774101131643
reserved,A0,0.4107912428541786,0.43739727551873914,0.3918803418803419,0.9573756790639365,0.21529685189097825,1423,2.6719839425311642,4.516855094899199,0.34050179211469533,0.9814020028612304,0.11042944785276074,184,1.7453987730061349,2.766026654619381,0.3695652173913043,0.9784250269687162,0.1580327868852459,377,2.299016393442623,2.887598620893881,0.41316526610644255,0.9033674963396779,0.31075319753671243,838,3.412837517764093,8.562230438990495,
reserved,A1,0.44518357832866584,0.44461116757574487,0.5794871794871795,0.8332636857501045,0.37080076061694484,984,1.9755968730192266,10.303296118102576,0.40860215053763443,0.9599427753934192,0.14519427402862986,165,1.5920245398773005,4.16979143136812,0.705685618729097,0.7475728155339806,0.4301639344262295,176,1.338360655737705,12.565790886363287,0.5553221288515406,0.8272327964860908,0.4315490288962577,635,2.679298910468972,11.059277831833816,
reserved,A2,0.4414065883039154,0.44219694749122906,0.5611111111111111,0.8286669452569996,0.36403972110712024,1027,2.0492288189309105,10.872855233705568,0.5125448028673835,0.8898426323319027,0.2249488752556237,136,1.3982617586912065,7.94915813799934,0.6989966555183946,0.7842502696871629,0.40524590163934426,180,1.3334426229508196,10.979887445395876,0.507703081232493,0.8330893118594437,0.39744197063003317,703,2.9377072477498816,11.629793507345886,
reserved,A3,0.44869634882392445,0.4469272628166915,0.5978632478632478,0.8290848307563727,0.3819987323050919,941,1.8978449186562434,10.243346465312964,0.6164874551971327,0.8569384835479256,0.278118609406953,107,1.147239263803681,8.50324383671025,0.6755852842809364,0.8166127292340885,0.3763934426229508,194,1.397704918032787,9.776866359775136,0.5574229691876751,0.8243045387994143,0.43391757460918995,632,2.6681667456181906,11.191219641398794,
reserved,A4,0.4437791039229899,0.4563743775555648,0.5418803418803418,0.893021312160468,0.32199450665539825,1072,2.0909571096556094,7.383286689226331,0.4874551971326165,0.9298998569384835,0.18916155419222905,143,1.4084867075664622,5.649804342337794,0.5284280936454849,0.9255663430420712,0.25245901639344265,282,1.7950819672131149,5.554429014242213,0.5525210084033614,0.8257686676427526,0.43012790146849833,639,2.693036475603979,11.195955738401555,
reserved,A5,0.44395817431023726,0.4493156333626915,0.5598290598290598,0.8671124111993314,0.34396788506232834,1030,2.0385590534544686,8.675019060044722,0.4767025089605735,0.9513590844062947,0.17075664621676892,146,1.4212678936605316,4.299170673464777,0.657190635451505,0.8435814455231931,0.3527868852459016,205,1.4442622950819672,8.695686743835166,0.5301120448179272,0.8243045387994143,0.41544291804831834,671,2.8230696352439604,11.716262661233078,
reserved,A6,0.44864696729178505,0.44926298840399087,0.5773504273504273,0.8529043042206436,0.3598140714134798,989,1.9652440312698076,9.237794480137756,0.4767025089605735,0.9484978540772532,0.17280163599182005,146,1.4233128834355828,4.493239536609765,0.6789297658862876,0.8069039913700108,0.3836065573770492,192,1.3901639344262295,10.195999241864659,0.5497198879551821,0.8272327964860908,0.42775935575556606,643,2.696826148744671,11.161792765151867,
reserved,A7,0.44819761204807357,0.4488979360798244,0.5747863247863247,0.854157960718763,0.35791252905134163,995,1.9761250792309317,9.204021332355678,0.4767025089605735,0.9484978540772532,0.17280163599182005,146,1.4233128834355828,4.493239536609765,0.6789297658862876,0.8069039913700108,0.3836065573770492,192,1.3901639344262295,10.195999241864659,0.5455182072829131,0.8316251830161054,0.423495973472288,649,2.721222169587873,10.979720217946571,
