candidate,threshold,auroc_val_vs_pad,in_domain_false_reject_val,pad_rejection_rate,escalating_rejection_rate,benign_rejection_rate,gap,gap_lo,gap_hi,safety_passes
mahalanobis,3701.1889408672405,0.9075788615791638,0.15078328981723238,0.7912713472485768,0.8686131386861314,0.5172413793103449,0.3513717593757866,0.2809052833359671,0.4213539936478828,False
modality,0.002440137439407406,0.9993546900778336,0.07898172323759792,1.0,1.0,1.0,0.0,-0.00447763327533246,0.015774599364195452,True
