arm,macro_f1_val,macro_f1_val_ci_lo,macro_f1_val_ci_hi,balanced_acc_val,esc_sens_val,esc_sens_under40,under40_caught,under40_n,under40_ci_lo,under40_ci_hi,macro_f1_external
d2_strong,0.5999594778497068,0.5344393684248246,0.6418576697871264,0.6018583295619665,0.5811688311688312,0.6818181818181818,15,22,0.45127557242622957,0.8613534784462021,0.5244543498309182
all_three,0.7421288085496217,0.6853608922193019,0.7840812282910917,0.7094078618232992,0.724025974025974,0.5909090909090909,13,22,0.36354696172973133,0.7929068770028508,0.5753667574051453
