condition,macro_f1_val,macro_f1_val_ci_lo,macro_f1_val_ci_hi,balanced_acc_val,esc_sens_val,missed_serious_val,esc_sens_under40,under40_ci_lo,under40_ci_hi,under40_caught,under40_n,macro_f1_external,macro_f1_external_ci_lo,macro_f1_external_ci_hi
ham_only,0.7509358509814447,0.6986032590787128,0.7913185633043979,0.7440777341031567,0.7694805194805194,71,0.4090909090909091,0.2070931229971492,0.6364530382702687,9,22,0.35638456905553767,0.3157461859409536,0.3974014962732799
ham_mskcc,0.7868602722024169,0.7361047427740139,0.8259969713470946,0.7613241535497934,0.7272727272727273,84,0.5454545454545454,0.3221047545531717,0.7561381340769835,12,22,0.39582335127479745,0.34697186012094644,0.44155763431196327
ham_bcn,0.7613823139375091,0.7078250450601685,0.804108707966587,0.7352542639711148,0.7207792207792207,86,0.4090909090909091,0.2070931229971492,0.6364530382702687,9,22,0.5517037855896143,0.46843062517628564,0.6078801986446974
all_three,0.7421288085496217,0.6853608922193019,0.7840812282910917,0.7094078618232992,0.724025974025974,85,0.5909090909090909,0.36354696172973133,0.7929068770028508,13,22,0.5753667574051453,0.48802835661588134,0.6360243959398689
