cohort,condition,vs,regime,delta,ci_lo,ci_hi,p_value_two_sided,excludes_zero
bcn20000,ham_mskcc,ham_only,zero_shot,0.015882300977859365,-0.027105746829214284,0.05339868082986396,0.402,False
bcn20000,ham_bcn,ham_only,in_domain,0.20613557229762297,0.13178385197692202,0.25664557238388824,0.0,True
bcn20000,all_three,ham_only,in_domain,0.20861976127342535,0.1330047665949576,0.26759143879195074,0.0,True
mskcc,ham_mskcc,ham_only,in_domain,0.09726808707071022,0.0661623232988859,0.12786206107769865,0.0,True
mskcc,ham_bcn,ham_only,zero_shot,0.026005258961711353,-0.0010923094354126864,0.05434295609949754,0.058,False
mskcc,all_three,ham_only,in_domain,0.09565007403525272,0.06644182909627817,0.1254778388655622,0.0,True
