condition,ece_uncalibrated,ece_dirichlet,macro_f1_raw,macro_f1_dirichlet,abstain10_coverage,abstain10_risk_kept,conformal_a05_coverage,conformal_a05_set_size,conformal_a10_coverage,conformal_a10_set_size,uncertifiable_a05
ham_only,0.11779819072926948,0.06263025226242586,0.7676849698855548,0.7436326621134659,0.89501312335958,0.10703812316715544,0.9435695538057742,1.5538057742782152,0.89501312335958,1.1653543307086613,2
ham_mskcc,0.10719547053074402,0.03918307573776545,0.8012229032574784,0.7928486780653478,0.9002624671916011,0.09766763848396498,0.931758530183727,1.4724409448818898,0.9028871391076115,1.094488188976378,2
ham_bcn,0.06465548680555415,0.041955136486238706,0.7805884005922042,0.7616577982755006,0.9041994750656168,0.10595065312046448,0.9448818897637795,1.5564304461942258,0.8937007874015748,1.1351706036745406,2
all_three,0.07955008987385988,0.0544654387501594,0.7153426066911477,0.7281916242192273,0.9238845144356955,0.11079545454545459,0.9278215223097113,1.39501312335958,0.8832020997375328,1.083989501312336,2
