band,n,n_escalating,underpowered,rho_hat,rho_ci_lo,rho_ci_hi,rho_hat_optimistic,best_member_marginal,selection_gap,probe_linear,probe_multinomial_lse,probe_mlp,probe_gbm,base_s_deployed,delta_head_vs_s_deployed,delta_ci_lo_vs_s_deployed,delta_ci_hi_vs_s_deployed,verdict_vs_s_deployed,base_s_own_1view,delta_head_vs_s_own_1view,delta_ci_lo_vs_s_own_1view,delta_ci_hi_vs_s_own_1view,verdict_vs_s_own_1view,base_s_own_tta,delta_head_vs_s_own_tta,delta_ci_lo_vs_s_own_tta,delta_ci_hi_vs_s_own_tta,verdict_vs_s_own_tta
<40,1319,64,False,0.7700517374944666,0.6959567545458684,0.8430447202409656,0.8034943559096945,gbm,0.0334,0.7181931994245241,0.7178992363877822,0.774789729969013,0.8034943559096945,0.8095811199645861,-0.0395293824701195,-0.10028058731200548,0.022467473238215706,NOT_CERTIFIED,0.7925312638335547,-0.022479526339088007,-0.06372493594151359,0.01610049004780285,NOT_CERTIFIED,0.7982721890216911,-0.02822045152722441,-0.06596755811058616,0.009557796289392318,NOT_CERTIFIED
40-59,3112,397,False,0.8501499119392992,0.8223523051841473,0.8764478163107048,0.8568556170459951,gbm,0.0067,0.8045565291971348,0.8042794871913816,0.853726975232187,0.8568556170459951,0.8958296287018611,-0.045679716762561884,-0.06407742927949729,-0.02696144022243515,NOT_CERTIFIED,0.8524384077635675,-0.0022884958242682663,-0.02095907067878968,0.015616712336303039,NOT_CERTIFIED,0.8636102877164986,-0.013460375777199385,-0.032289953466327646,0.004742219572176613,NOT_CERTIFIED
60+,2512,893,False,0.7935300086390131,0.7659894113882806,0.8205856046021724,0.8091216941903118,gbm,0.0156,0.7368993605316609,0.744650724801745,0.7923061292418181,0.8091216941903118,0.8531214073760003,-0.059591398736987156,-0.07978523209070056,-0.04059249639103719,NOT_CERTIFIED,0.8110837438612939,-0.017553735222280764,-0.03625129175522226,-0.0008628012170899576,NOT_CERTIFIED,0.8285473692818031,-0.03501736064278993,-0.05391995750674701,-0.017747671725401384,NOT_CERTIFIED
all,6981,1356,False,0.8357787974798792,0.8199221276682946,0.8519131395621856,0.8471098729014167,gbm,0.0113,0.7777786882260825,0.7799129611420663,0.8291678502494628,0.8471098729014167,0.8850311373320223,-0.04925233985214317,-0.060703303658959984,-0.03743716741023004,NOT_CERTIFIED,0.8489001784478678,-0.01312138096798865,-0.023553555659129487,-0.0031418756709056766,NOT_CERTIFIED,0.8610797916894279,-0.02530099420954879,-0.035814080119042954,-0.014368484976220883,NOT_CERTIFIED
