source,band,n,n_escalating,s_pauc,s_full_auc,np_pauc,np_full_auc,np_pauc_ci_lo,np_pauc_ci_hi,delta_pauc,delta_ci_lo,delta_ci_hi,underpowered
ham_train_INSAMPLE,<40,1319,64,0.8095811199645861,0.8953187250996015,0.9929794710048696,0.997472609561753,0.9753810391831227,1.0,0.18339835104028346,0.11080109217640363,0.2651717852778136,False
ham_train_INSAMPLE,40-59,3112,397,0.8958296287018611,0.954677577225137,0.9961342975941414,0.9986083471338909,0.9923145386353034,0.9991012657324289,0.10030466889228029,0.07779161830662466,0.12429544755753848,False
ham_train_INSAMPLE,60+,2512,893,0.8531214073760003,0.9344839106163028,0.99751765748638,0.9991063566950967,0.9947023814481812,0.999286827039992,0.1443962501103797,0.12232478518298906,0.16732008573476118,False
ham_train_INSAMPLE,all,6981,1356,0.8850311373320223,0.9501081612586038,0.9973112640664263,0.9990320550639135,0.9955068882666228,0.998776632682233,0.11228012673440402,0.09810331246843125,0.12694213402142837,False
ham_val_OOS,<40,267,22,0.8175633889919605,0.9294990723562152,0.7505668934240363,0.7771799628942486,0.6074171788467713,0.8796052522824952,-0.0669964955679242,-0.2452592056895738,0.07181488947780383,True
ham_val_OOS,40-59,697,60,0.8587127158555731,0.9413919413919414,0.8327809756381186,0.8895866038723181,0.7571236879770992,0.9049093736944089,-0.02593174021745448,-0.08546573027312857,0.030946482754542384,False
ham_val_OOS,60+,558,226,0.8569943490777268,0.9327886768312186,0.7882273933492081,0.8658638980701567,0.7319438969152681,0.8443248381083454,-0.06876695572851865,-0.11671052628529491,-0.02229866999199052,False
ham_val_OOS,all,1532,308,0.8838083213083213,0.9492296918767507,0.824779659338483,0.8788674560733384,0.7902053771420852,0.859756138046205,-0.05902866196983836,-0.08851781888516458,-0.02912899031790881,False
ham_oof_CROSSFIT,<40,1319,64,0.8095811199645861,0.8953187250996015,0.7181931994245241,0.7615351095617531,0.6505128898241093,0.7838270215451356,-0.09138792054006206,-0.1755607015741886,-0.009032214573957661,False
ham_oof_CROSSFIT,40-59,3112,397,0.8958296287018611,0.954677577225137,0.8045565291971348,0.8532200527900321,0.7754812075080191,0.8325977479550438,-0.09127309950472628,-0.11757202997634401,-0.06612692082372497,False
ham_oof_CROSSFIT,60+,2512,893,0.8531214073760003,0.9344839106163028,0.7368993605316609,0.8170237666235292,0.7121275281692081,0.7625044790953144,-0.11622204684433934,-0.14011202800205305,-0.09086281471628944,False
ham_oof_CROSSFIT,all,6981,1356,0.8850311373320223,0.9501081612586038,0.7777786882260825,0.8352530317928547,0.7607377362535872,0.7943723168103788,-0.10725244910593978,-0.12291323853513944,-0.09173111885686212,False
