pair,band,n,n_escalating,probe,rho_fit_target,rho_fit_source,transport_gap,gap_ci_lo,gap_ci_hi,reading
val_to_pad,<40,241,74,multinomial_lse,0.9109888331445218,0.6366276456096815,0.2743611875348403,0.19071389089410118,0.3464435440913145,refit_recovers_signal
val_to_pad,40-59,748,619,multinomial_lse,0.8867265281586957,0.6291356540445469,0.2575908741141488,0.20387188282845523,0.30728118003517985,refit_recovers_signal
val_to_pad,60+,1117,934,multinomial_lse,0.841474148702007,0.6210178391963066,0.2204563095057004,0.17060850216367543,0.2706749867741969,refit_recovers_signal
val_to_pad,all,2106,1627,multinomial_lse,0.8865425805001057,0.6402860594323038,0.24625652106780194,0.21508506274589892,0.2751814877581255,refit_recovers_signal
