cohort,condition,n,regime,macro_f1,ci_lo,ci_hi,balanced_acc,esc_sens
bcn20000,ham_only,1794,zero_shot,0.3642040853285318,0.31531272008801214,0.4141164310916162,0.3691952886551512,0.4834503510531595
bcn20000,ham_mskcc,1794,zero_shot,0.3800863863063912,0.327707727854323,0.43426803385921875,0.38617696651648104,0.6369107321965898
bcn20000,ham_bcn,1794,in_domain,0.5703396576261548,0.47974145322624584,0.6359705872187162,0.564450168988391,0.7883650952858575
bcn20000,all_three,1794,in_domain,0.5728238466019572,0.48417036447873607,0.6452577270064229,0.5624887414495948,0.79839518555667
mskcc,ham_only,438,zero_shot,0.20731116749863115,0.17958474438358338,0.23248376101328455,0.4433206589238208,0.22093023255813954
mskcc,ham_mskcc,438,in_domain,0.3045792545693414,0.28161319199307805,0.3275087517399636,0.6994801128149737,0.46511627906976744
mskcc,ham_bcn,438,zero_shot,0.2333164264603425,0.20724203813709716,0.25853443917289953,0.4850298312321453,0.313953488372093
mskcc,all_three,438,in_domain,0.3029612415338839,0.2777265745337346,0.3252320301681862,0.6801048139116647,0.5
