arm,macro_f1_val,macro_f1_val_ci_lo,macro_f1_val_ci_hi,balanced_acc_val,esc_sens_val,esc_sens_under40,under40_caught,under40_n,under40_ci_lo,under40_ci_hi,macro_f1_external
d2,0.7562505981173839,0.7010101415392075,0.7992791874025784,0.7306836725410816,0.7597402597402597,0.6363636363636364,14,22,0.40657666882564664,0.8280205623536676,0.5438177537851115
all_three,0.7421288085496217,0.6853608922193019,0.7840812282910917,0.7094078618232992,0.724025974025974,0.5909090909090909,13,22,0.36354696172973133,0.7929068770028508,0.5753667574051453
