subset,n,false_reject,ci_lo,ci_hi
all,4733,0.06655398267483625,0.056146413420117953,0.07675769804387407
escalating,2340,0.08675213675213675,0.06871855545882609,0.10408075286703665
band <40,978,0.041922290388548056,0.027777777777777776,0.057355725870463246
band 40-59,1525,0.06754098360655737,0.04996373996373997,0.08570200422671038
band 60+,2111,0.07863571766935101,0.061544464214977695,0.09693225562079873
band unknown,119,0.04201680672268908,0.01378139519012278,0.09533092973764726
archive bcn20000,3856,0.07131742738589211,0.05900598215430843,0.0837170741134409
archive mskcc,877,0.04561003420752566,0.032109172210136934,0.06085378193776876
