arm,view,kind,budget,score,floor,panel,band,n,n_escalating,n_escalating_groups,referral_rate,n_referred,system_sens,frr,n_false_reassured,retained_sens,retained_macro_f1,rescued_misses,argmax_misses,nnb_pi0.01,nnb_pi0.03,nnb_pi0.05,system_sens_ci_lo,system_sens_ci_hi,system_sens_ci_method,flag_rate,decision_esc_rate,decision_specificity
S56,S56,band,0.1,msp,0.755,reserved,unknown,119,35,25,0.06722689075630252,8,0.45714285714285713,0.5428571428571429,19,0.3448275862068966,0.25215702903564174,5,24,11.3125,4.368055555555555,2.9791666666666665,0.288271443790757,0.6335419828785478,CP,0.16806722689075632,0.11764705882352941,0.9642857142857143
COMB,COMB,band,0.1,entropy,0.865,reserved,ALL,4733,2340,779,0.18064652440312698,855,0.6782051282051282,0.32179487179487176,753,0.5891980360065466,0.47524154662637697,176,929,43.27315492492676,14.806383931710084,9.11302973306675,0.6445963396311505,0.7102375869835613,boot,0.48172406507500526,0.3807310373969998,0.8366067697450899
COMB,COMB,band,0.1,entropy,0.865,reserved,<40,978,279,104,0.5337423312883436,522,0.7992831541218638,0.2007168458781362,56,0.0,0.2761457109283196,150,206,53.98202428838121,18.303893454454474,11.168267287669122,0.6984701280676298,0.8791365280289329,boot,0.5337423312883436,0.0787321063394683,0.994277539341917
COMB,COMB,band,0.1,entropy,0.865,reserved,40-59,1525,598,174,0.043278688524590166,66,0.6923076923076923,0.3076923076923077,184,0.6617647058823529,0.4221398672525835,0,184,35.400215749730314,12.235087298733468,7.6020616085341,0.6182025336150874,0.7618151492291008,boot,0.41770491803278686,0.41770491803278686,0.7594390507011866
COMB,COMB,band,0.1,entropy,0.865,reserved,60+,2111,1428,479,0.12458550450023685,263,0.646358543417367,0.353641456582633,505,0.5791666666666667,0.4613370552048611,26,531,35.08667071694725,12.132683702167958,7.541886299212099,0.6057648601398601,0.6856200087597635,boot,0.5092373282804358,0.4936049265750829,0.787701317715959
COMB,COMB,band,0.1,entropy,0.865,reserved,unknown,119,35,25,0.03361344537815126,4,0.7714285714285715,0.22857142857142854,8,0.7575757575757576,0.21139806036831207,0,8,30.02777777777778,10.480452674897117,6.570987654320987,0.5986367438926854,0.8957895680521848,CP,0.3865546218487395,0.3865546218487395,0.7738095238095238
COMB_global,COMB,global,0.1,entropy,,reserved,ALL,4733,2340,779,0.27931544474963027,1322,0.7055555555555556,0.2944444444444444,689,0.4831207801950488,0.4943065016437882,240,929,30.728242807927323,10.709224082050337,6.70542033687494,0.6730485392553373,0.7377868423857293,boot,0.45594760194379885,0.3807310373969998,0.8366067697450899
COMB_global,COMB,global,0.1,entropy,,reserved,<40,978,279,104,0.07259713701431493,71,0.3548387096774194,0.6451612903225806,180,0.21052631578947367,0.40385740298447725,26,206,10.180257510729612,3.9982659210127025,2.7618676030693194,0.22580645161290322,0.47929045092838196,boot,0.12474437627811862,0.0787321063394683,0.994277539341917
COMB_global,COMB,global,0.1,entropy,,reserved,40-59,1525,598,174,0.17573770491803278,268,0.6923076923076923,0.3076923076923077,184,0.551219512195122,0.4232112793521795,0,184,35.400215749730314,12.235087298733468,7.6020616085341,0.6182025336150874,0.7618151492291008,boot,0.41770491803278686,0.41770491803278686,0.7594390507011866
COMB_global,COMB,global,0.1,entropy,,reserved,60+,2111,1428,479,0.4552344860255803,961,0.7780112044817927,0.22198879551820727,317,0.5317577548005908,0.520549822429733,214,531,46.08623863850514,15.725135178232318,9.652914486177753,0.7422652283371542,0.8107647014299321,boot,0.6409284699194695,0.4936049265750829,0.787701317715959
COMB_global,COMB,global,0.1,entropy,,reserved,unknown,119,35,25,0.18487394957983194,22,0.7714285714285715,0.22857142857142854,8,0.5555555555555556,0.18865698060328934,0,8,30.02777777777778,10.480452674897117,6.570987654320987,0.5986367438926854,0.8957895680521848,CP,0.3865546218487395,0.3865546218487395,0.7738095238095238
CAL_S56,CAL,band,0.1,entropy,0.775,reserved,ALL,4733,2340,779,0.2098035072892457,993,0.5820512820512821,0.4179487179487179,978,0.4290718038528897,0.4614640530477644,408,1386,33.269118261596326,11.53907229419139,7.193063100710406,,,,0.3836889921825481,0.2245932812169871,0.9544504805683243
CAL_S56,CAL,band,0.1,entropy,0.775,reserved,<40,978,279,104,0.4171779141104294,408,0.7347670250896058,0.2652329749103942,74,0.013333333333333334,0.28772983423141785,143,217,40.322265256987336,13.84262535329216,8.546697372553124,,,,0.418200408997955,0.065439672801636,0.9971387696709585
CAL_S56,CAL,band,0.1,entropy,0.775,reserved,40-59,1525,598,174,0.2636065573770492,402,0.6488294314381271,0.3511705685618729,210,0.36936936936936937,0.41553134708394046,170,380,25.03132819537584,8.848615605897157,5.612073088001423,,,,0.3501639344262295,0.1560655737704918,0.9784250269687162
CAL_S56,CAL,band,0.1,entropy,0.775,reserved,60+,2111,1428,479,0.0847939365229749,179,0.5294117647058824,0.47058823529411764,672,0.4716981132075472,0.42738190316231994,93,765,28.379209370424597,9.942031343202645,6.254595737758257,,,,0.40549502605400284,0.3538607295120796,0.87701317715959
CAL_S56,CAL,band,0.1,entropy,0.775,reserved,unknown,119,35,25,0.03361344537815126,4,0.37142857142857144,0.6285714285714286,22,0.3333333333333333,0.24854669140383429,2,24,13.692307692307692,5.145299145299145,3.4358974358974357,,,,0.14285714285714285,0.11764705882352941,0.9642857142857143
LAM_S56,LAM,band,0.1,entropy,0.85,reserved,ALL,4733,2340,779,0.23874920769068245,1130,0.6876068376068376,0.3123931623931624,731,0.5361675126903553,0.45922278469024375,253,984,40.288503837456304,13.831598896408286,8.540217908198684,,,,0.47792098035072894,0.37080076061694484,0.8332636857501045
LAM_S56,LAM,band,0.1,entropy,0.85,reserved,<40,978,279,104,0.4539877300613497,444,0.7634408602150538,0.23655913978494625,66,0.15384615384615385,0.459281340994896,99,165,46.080517439400346,15.723266638457355,9.651816478268755,,,,0.4662576687116564,0.14519427402862986,0.9599427753934192
LAM_S56,LAM,band,0.1,entropy,0.85,reserved,40-59,1525,598,174,0.020327868852459016,31,0.705685618729097,0.29431438127090304,176,0.6939130434782609,0.4303833267565496,0,176,36.41278240463811,12.565790886363287,7.796392582708323,,,,0.4301639344262295,0.4301639344262295,0.7475728155339806
LAM_S56,LAM,band,0.1,entropy,0.85,reserved,60+,2111,1428,479,0.3083846518237802,651,0.6631652661064426,0.33683473389355745,481,0.45955056179775283,0.4442277587624927,154,635,35.31566123119785,12.207471849919836,7.585833973664234,,,,0.5229748934154429,0.4315490288962577,0.8272327964860908
LAM_S56,LAM,band,0.1,entropy,0.85,reserved,unknown,119,35,25,0.03361344537815126,4,0.7714285714285715,0.22857142857142854,8,0.7575757575757576,0.21139806036831207,0,8,30.02777777777778,10.480452674897117,6.570987654320987,,,,0.3865546218487395,0.3865546218487395,0.7738095238095238
S56,S56,band,0.15,msp,0.81,reserved,ALL,4733,2340,779,0.30171138812592435,1428,0.6333333333333333,0.3666666666666667,858,0.38317757009345793,0.4525291685793095,565,1423,34.83684870345525,12.051092000791783,7.493940660259089,0.5981998371095417,0.6661231905428854,boot,0.4225649693640397,0.21529685189097825,0.9573756790639365
S56,S56,band,0.15,msp,0.81,reserved,<40,978,279,104,0.40286298568507156,394,0.7311827956989247,0.26881720430107525,75,0.18478260869565216,0.48288489501541326,109,184,41.096124715980814,14.09536733148195,8.695215854582175,0.6132717993951613,0.8265012847257556,boot,0.42024539877300615,0.11042944785276074,0.9814020028612304
S56,S56,band,0.15,msp,0.81,reserved,40-59,1525,598,174,0.28065573770491803,428,0.6555183946488294,0.34448160535117056,206,0.3542319749216301,0.42795146561424274,171,377,25.92654051912027,9.140991347995508,5.783881513770557,0.580023182199882,0.728725658131987,boot,0.35737704918032787,0.1580327868852459,0.9784250269687162
S56,S56,band,0.15,msp,0.81,reserved,60+,2111,1428,479,0.27711984841307435,585,0.6043417366946778,0.39565826330532217,565,0.4114583333333333,0.41977254201034253,273,838,37.456543536201984,12.906682569062601,7.996710375634725,0.5658738670451247,0.6449867926353074,boot,0.4808147797252487,0.31075319753671243,0.9033674963396778
S56,S56,band,0.15,msp,0.81,reserved,unknown,119,35,25,0.17647058823529413,21,0.6571428571428571,0.34285714285714286,12,0.4,0.2951322751322752,12,24,11.76086956521739,4.514492753623188,3.0652173913043477,0.47789001660647873,0.8086758978117342,CP,0.24369747899159663,0.11764705882352941,0.9642857142857143
COMB,COMB,band,0.15,entropy,0.875,reserved,ALL,4733,2340,779,0.31523346714557365,1492,0.7333333333333333,0.2666666666666667,624,0.5384615384615384,0.49544643635541047,305,929,42.80317592979524,14.652889108384302,9.022831744102117,0.701918214362412,0.7632287522153183,boot,0.5191210648637228,0.3807310373969998,0.8366067697450899
COMB,COMB,band,0.15,entropy,0.875,reserved,<40,978,279,104,0.5337423312883436,522,0.7992831541218638,0.2007168458781362,56,0.0,0.2761457109283196,150,206,53.98202428838121,18.303893454454474,11.168267287669122,0.6984701280676298,0.8791365280289329,boot,0.5337423312883436,0.0787321063394683,0.994277539341917
COMB,COMB,band,0.15,entropy,0.875,reserved,40-59,1525,598,174,0.13114754098360656,200,0.6923076923076923,0.3076923076923077,184,0.5938189845474614,0.427095383707258,0,184,35.400215749730314,12.235087298733468,7.6020616085341,0.6182025336150874,0.7618151492291008,boot,0.41770491803278686,0.41770491803278686,0.7594390507011866
COMB,COMB,band,0.15,entropy,0.875,reserved,60+,2111,1428,479,0.3567029843675983,753,0.7366946778711485,0.2633053221288515,376,0.5425790754257908,0.49533017418750214,155,531,40.351107003880216,13.852045048405323,8.552232657310347,0.6995753027643983,0.7716610474745795,boot,0.5930838465182378,0.4936049265750829,0.787701317715959
COMB,COMB,band,0.15,entropy,0.875,reserved,unknown,119,35,25,0.14285714285714285,17,0.7714285714285715,0.22857142857142854,8,0.6190476190476191,0.1956316070914401,0,8,30.02777777777778,10.480452674897117,6.570987654320987,0.5986367438926854,0.8957895680521848,CP,0.3865546218487395,0.3865546218487395,0.7738095238095238
COMB_global,COMB,global,0.15,entropy,,reserved,ALL,4733,2340,779,0.3619268962603,1713,0.7427350427350428,0.25726495726495724,602,0.43790849673202614,0.5059287839079553,327,929,32.97204927875079,11.442049764440492,7.136049861578433,0.7100549596271152,0.7737198639963392,boot,0.4884851045848299,0.3807310373969998,0.8366067697450899
COMB_global,COMB,global,0.15,entropy,,reserved,<40,978,279,104,0.11042944785276074,108,0.3978494623655914,0.6021505376344086,168,0.1724137931034483,0.43742412870523023,38,206,13.103700266790394,4.9530603564938325,3.3229323744345205,0.2635607136516954,0.5243389423076922,boot,0.14826175869120656,0.0787321063394683,0.994277539341917
COMB_global,COMB,global,0.15,entropy,,reserved,40-59,1525,598,174,0.24459016393442623,373,0.697324414715719,0.30267558528428096,181,0.4783861671469741,0.4204318510908007,3,184,35.15273218318549,12.15425933255553,7.554564762429538,0.6240848914563621,0.765543227599482,boot,0.419672131147541,0.41770491803278686,0.7594390507011866
COMB_global,COMB,global,0.15,entropy,,reserved,60+,2111,1428,479,0.5708195168166745,1205,0.8284313725490197,0.17156862745098034,245,0.5158102766798419,0.542082545449574,286,531,53.14038309927487,18.02901400885408,11.006740190769925,0.7965262441107185,0.8577599938712736,boot,0.7015632401705353,0.4936049265750829,0.787701317715959
COMB_global,COMB,global,0.15,entropy,,reserved,unknown,119,35,25,0.226890756302521,27,0.7714285714285715,0.22857142857142854,8,0.4666666666666667,0.17885166272263048,0,8,30.02777777777778,10.480452674897117,6.570987654320987,0.5986367438926854,0.8957895680521848,CP,0.3865546218487395,0.3865546218487395,0.7738095238095238
CAL_S56,CAL,band,0.15,entropy,0.82,reserved,ALL,4733,2340,779,0.31734629199239384,1502,0.6747863247863248,0.32521367521367517,761,0.435459940652819,0.4872820748593262,625,1386,35.94629020096878,12.413434846781051,7.7068637759435035,,,,0.45404605958166067,0.2245932812169871,0.9544504805683243
CAL_S56,CAL,band,0.15,entropy,0.82,reserved,<40,978,279,104,0.44683026584867075,437,0.7455197132616488,0.2544802867383512,71,0.0,0.2753375977256574,146,217,44.504518818091775,15.208546550016507,9.349352096401452,,,,0.44683026584867075,0.065439672801636,0.9971387696709585
CAL_S56,CAL,band,0.15,entropy,0.82,reserved,40-59,1525,598,174,0.28918032786885245,441,0.6688963210702341,0.3311036789297659,198,0.37142857142857144,0.4215864246568953,182,380,27.18427184466019,9.551765551959726,6.025264293419633,,,,0.36983606557377047,0.1560655737704918,0.9784250269687162
CAL_S56,CAL,band,0.15,entropy,0.82,reserved,60+,2111,1428,479,0.28943628612032213,611,0.6659663865546218,0.3340336134453782,477,0.4914712153518124,0.46686477076545346,288,765,38.6537543127139,13.29769080246885,8.226478100419842,,,,0.532449076267172,0.3538607295120796,0.87701317715959
CAL_S56,CAL,band,0.15,entropy,0.82,reserved,unknown,119,35,25,0.1092436974789916,13,0.5714285714285714,0.4285714285714286,15,0.375,0.2770817417876241,9,24,9.25,3.694444444444444,2.583333333333333,,,,0.20168067226890757,0.11764705882352941,0.9642857142857143
LAM_S56,LAM,band,0.15,entropy,0.875,reserved,ALL,4733,2340,779,0.3319247834354532,1571,0.7350427350427351,0.2649572649572649,620,0.5110410094637224,0.4784116815332598,364,984,42.14312578353531,14.437317175094025,8.896155453405767,,,,0.5178533699556307,0.37080076061694484,0.8332636857501045
LAM_S56,LAM,band,0.15,entropy,0.875,reserved,<40,978,279,104,0.48057259713701433,470,0.7921146953405018,0.20788530465949817,58,0.15942028985507245,0.446145699659174,107,165,47.4882605402676,16.18303458722545,9.921989396617015,,,,0.4918200408997955,0.14519427402862986,0.9599427753934192
LAM_S56,LAM,band,0.15,entropy,0.875,reserved,40-59,1525,598,174,0.08196721311475409,125,0.705685618729097,0.29431438127090304,176,0.6535433070866141,0.442995806020886,0,176,36.41278240463811,12.565790886363287,7.796392582708323,,,,0.4301639344262295,0.4301639344262295,0.7475728155339806
LAM_S56,LAM,band,0.15,entropy,0.875,reserved,60+,2111,1428,479,0.45902415916627193,969,0.7352941176470589,0.2647058823529411,378,0.4281391830559758,0.4723553822477629,257,635,43.97440702781845,15.035412396290873,9.24761346998536,,,,0.600663192799621,0.4315490288962577,0.8272327964860908
LAM_S56,LAM,band,0.15,entropy,0.875,reserved,unknown,119,35,25,0.058823529411764705,7,0.7714285714285715,0.22857142857142854,8,0.7333333333333333,0.20958646616541352,0,8,30.02777777777778,10.480452674897117,6.570987654320987,,,,0.3865546218487395,0.3865546218487395,0.7738095238095238
S56,S56,band,0.2,msp,0.855,reserved,ALL,4733,2340,779,0.3858018170293683,1826,0.6927350427350427,0.3072649572649573,719,0.3676341248900616,0.4645527240724504,704,1423,39.69905360921854,13.639084848802014,8.427091096718708,0.6599499128001542,0.7239400913926471,boot,0.4793999577435031,0.21529685189097825,0.9573756790639365
S56,S56,band,0.2,msp,0.855,reserved,<40,978,279,104,0.4539877300613497,444,0.7634408602150538,0.23655913978494625,66,0.15384615384615385,0.459281340994896,118,184,46.080517439400346,15.723266638457355,9.651816478268755,0.6553672578698116,0.8525933935490912,boot,0.4662576687116564,0.11042944785276074,0.9814020028612304
S56,S56,band,0.2,msp,0.855,reserved,40-59,1525,598,174,0.35672131147540986,544,0.7040133779264214,0.2959866220735786,177,0.3192307692307692,0.4426555894672551,200,377,32.55279846874063,11.305122732214953,7.0555875849098175,0.6312993159839609,0.7709050480138532,boot,0.4124590163934426,0.1580327868852459,0.9784250269687162
S56,S56,band,0.2,msp,0.855,reserved,60+,2111,1428,479,0.3851255329227854,813,0.6743697478991597,0.3256302521008403,465,0.4053708439897698,0.4351461688009931,373,838,41.83852164037164,14.337833667057405,8.837696072394559,0.6383707489449287,0.7129931018050374,boot,0.5461866414021791,0.31075319753671243,0.9033674963396778
