arm,view,kind,budget,score,floor,panel,band,n,n_escalating,n_escalating_groups,referral_rate,n_referred,system_sens,frr,n_false_reassured,retained_sens,retained_macro_f1,rescued_misses,argmax_misses,nnb_pi0.01,nnb_pi0.03,nnb_pi0.05,system_sens_ci_lo,system_sens_ci_hi,system_sens_ci_method,flag_rate,decision_esc_rate,decision_specificity
CAL_S56,CAL,band,0.2,entropy,0.845,reserved,<40,978,279,104,0.4652351738241309,455,0.7562724014336918,0.2437275985663082,68,0.0,0.27542621987066435,149,217,46.69509590545734,15.923987551614019,9.76976588084535,,,,0.4652351738241309,0.065439672801636,0.9971387696709585
CAL_S56,CAL,band,0.2,entropy,0.845,reserved,40-59,1525,598,174,0.3160655737704918,482,0.6806020066889632,0.3193979933110368,191,0.35034013605442177,0.4259877338385132,189,380,29.872212017843086,10.429645002460536,6.541131599384027,,,,0.38754098360655737,0.1560655737704918,0.9784250269687162
CAL_S56,CAL,band,0.2,entropy,0.845,reserved,60+,2111,1428,479,0.44007579346281384,929,0.7570028011204482,0.24299719887955185,347,0.5049928673323824,0.5027843924570113,418,765,45.23122671242803,15.445888858941142,9.488821288243765,,,,0.6215063950734249,0.3538607295120796,0.87701317715959
CAL_S56,CAL,band,0.2,entropy,0.845,reserved,unknown,119,35,25,0.17647058823529413,21,0.6285714285714286,0.37142857142857144,13,0.2777777777777778,0.2872200263504611,11,24,12.25,4.674242424242423,3.159090909090909,,,,0.23529411764705882,0.11764705882352941,0.9642857142857143
LAM_S56,LAM,band,0.2,entropy,0.89,reserved,ALL,4733,2340,779,0.4052398056201141,1918,0.7611111111111111,0.23888888888888893,559,0.4583333333333333,0.48199605602599066,425,984,43.77787098013977,14.971223855466521,9.209894430531875,,,,0.542573420663427,0.37080076061694484,0.8332636857501045
LAM_S56,LAM,band,0.2,entropy,0.89,reserved,<40,978,279,104,0.5122699386503068,501,0.8136200716845878,0.18637992831541217,52,0.13333333333333333,0.409438368648895,113,165,50.08914560133103,17.032481896731014,10.421149155811007,,,,0.5204498977505112,0.14519427402862986,0.9599427753934192
LAM_S56,LAM,band,0.2,entropy,0.89,reserved,40-59,1525,598,174,0.179672131147541,274,0.705685618729097,0.29431438127090304,176,0.5654320987654321,0.43430829454589437,0,176,36.41278240463811,12.565790886363287,7.796392582708323,,,,0.4301639344262295,0.4301639344262295,0.7475728155339806
LAM_S56,LAM,band,0.2,entropy,0.89,reserved,60+,2111,1428,479,0.5329227854097585,1125,0.7738095238095238,0.22619047619047616,323,0.40950639853747717,0.49186033689163383,312,635,48.204234711116115,16.416871269287082,10.059398580921275,,,,0.6428233064898152,0.4315490288962577,0.8272327964860908
LAM_S56,LAM,band,0.2,entropy,0.89,reserved,unknown,119,35,25,0.15126050420168066,18,0.7714285714285715,0.22857142857142854,8,0.6,0.19252601702932828,0,8,30.02777777777778,10.480452674897117,6.570987654320987,,,,0.3865546218487395,0.3865546218487395,0.7738095238095238
S56,S56,band,0.25,msp,0.88,reserved,ALL,4733,2340,779,0.4498204098880203,2129,0.7341880341880341,0.26581196581196587,622,0.35477178423236516,0.48348559517193523,801,1423,44.33227929540321,15.15229323789263,9.316296026390516,0.7031207997311828,0.7634339928102405,boot,0.5254595394041834,0.21529685189097825,0.9573756790639365
S56,S56,band,0.25,msp,0.88,reserved,<40,978,279,104,0.5122699386503068,501,0.8100358422939068,0.1899641577060932,53,0.13114754098360656,0.40710137117537876,131,184,50.481199437882175,17.160526415739298,10.496391811310723,0.7147756108407891,0.8866731448763251,boot,0.5204498977505112,0.11042944785276074,0.9814020028612304
S56,S56,band,0.25,msp,0.88,reserved,40-59,1525,598,174,0.3947540983606557,602,0.7207357859531772,0.2792642140468228,167,0.29831932773109243,0.4574550988189016,210,377,37.155069492938075,12.80822134954543,7.938851720866904,0.6497292627233364,0.7870582301493166,boot,0.4426229508196721,0.1580327868852459,0.9784250269687162
S56,S56,band,0.25,msp,0.88,reserved,60+,2111,1428,479,0.4699194694457603,992,0.7247899159663865,0.27521008403361347,393,0.39631336405529954,0.45769773288088794,445,838,46.79708447386848,15.957296949377922,9.78933944447981,0.6888751868460389,0.7602577622587698,boot,0.5987683562292753,0.31075319753671243,0.9033674963396778
S56,S56,band,0.25,msp,0.88,reserved,unknown,119,35,25,0.2857142857142857,34,0.7428571428571429,0.2571428571428571,9,0.35714285714285715,0.21826180136484125,15,24,21.625,7.73611111111111,4.958333333333333,0.5674411503059621,0.875106028083238,CP,0.3277310924369748,0.11764705882352941,0.9642857142857143
COMB,COMB,band,0.25,entropy,0.89,reserved,ALL,4733,2340,779,0.4510881047961124,2135,0.7918803418803418,0.20811965811965816,487,0.4879074658254469,0.5132349589455851,442,929,47.28781237955911,16.117568352919974,9.883519547592153,0.763274288145906,0.8197562399772969,boot,0.5787027255440524,0.3807310373969998,0.8366067697450899
COMB,COMB,band,0.25,entropy,0.89,reserved,<40,978,279,104,0.6083844580777096,595,0.8458781362007168,0.15412186379928317,43,0.0,0.13412698412698412,163,206,61.109714846875676,20.63179239106714,12.536207899905433,0.7669286495352652,0.9093834635363072,boot,0.6083844580777096,0.0787321063394683,0.994277539341917
COMB,COMB,band,0.25,entropy,0.89,reserved,40-59,1525,598,174,0.22688524590163933,346,0.6923076923076923,0.3076923076923077,184,0.4945054945054945,0.41495814283850774,0,184,35.400215749730314,12.235087298733468,7.6020616085341,0.6182025336150874,0.7618151492291008,boot,0.41770491803278686,0.41770491803278686,0.7594390507011866
COMB,COMB,band,0.25,entropy,0.89,reserved,60+,2111,1428,479,0.5537659876835623,1169,0.8235294117647058,0.17647058823529416,252,0.5218216318785579,0.547324540626135,279,531,51.16262288224221,17.383078853796277,10.627170048107091,0.7914880787717418,0.852741425165077,boot,0.6920890573188062,0.4936049265750829,0.787701317715959
COMB,COMB,band,0.25,entropy,0.89,reserved,unknown,119,35,25,0.21008403361344538,25,0.7714285714285715,0.22857142857142854,8,0.5294117647058824,0.18885824600110315,0,8,30.02777777777778,10.480452674897117,6.570987654320987,0.5986367438926854,0.8957895680521848,CP,0.3865546218487395,0.3865546218487395,0.7738095238095238
COMB_global,COMB,global,0.25,entropy,,reserved,ALL,4733,2340,779,0.489330234523558,2316,0.7991452991452992,0.2008547008547008,470,0.36054421768707484,0.5096331682257718,459,929,39.77471055283794,13.66379435564067,8.44161111620122,0.7701161122471922,0.8278092106633524,boot,0.55334882738221,0.3807310373969998,0.8366067697450899
COMB_global,COMB,global,0.25,entropy,,reserved,<40,978,279,104,0.1738241308793456,170,0.4659498207885305,0.5340501792114696,149,0.1286549707602339,0.3785576658112353,57,206,20.453549026081213,7.353516011885111,4.733509409045889,0.3367670851338344,0.5887580877066858,boot,0.1983640081799591,0.0787321063394683,0.994277539341917
COMB_global,COMB,global,0.25,entropy,,reserved,40-59,1525,598,174,0.3836065573770492,585,0.7290969899665551,0.27090301003344486,162,0.33877551020408164,0.44478794268979926,22,184,39.66999198361094,13.62959334144869,8.42151361301624,0.6590770509977827,0.793981308846835,boot,0.45901639344262296,0.41770491803278686,0.7594390507011866
COMB_global,COMB,global,0.25,entropy,,reserved,60+,2111,1428,479,0.7167219327333018,1513,0.8928571428571429,0.1071428571428571,153,0.5096153846153846,0.546940281589096,378,531,65.93704245973646,22.208394338701805,13.462664714494878,0.8666572836030965,0.9158462444504848,boot,0.793462813832307,0.4936049265750829,0.787701317715959
COMB_global,COMB,global,0.25,entropy,,reserved,unknown,119,35,25,0.40336134453781514,48,0.8285714285714286,0.17142857142857137,6,0.14285714285714285,0.1670843776106934,2,8,30.870689655172413,10.75574712643678,6.732758620689655,0.6635016999818029,0.9343781988437493,CP,0.42016806722689076,0.3865546218487395,0.7738095238095238
CAL_S56,CAL,band,0.25,entropy,0.875,reserved,ALL,4733,2340,779,0.45151066976547644,2137,0.7658119658119659,0.23418803418803413,548,0.42916666666666664,0.5216887203276165,838,1386,43.51528360247149,14.88546299474658,9.159498873201601,,,,0.5448975279949292,0.2245932812169871,0.9544504805683243
CAL_S56,CAL,band,0.25,entropy,0.875,reserved,<40,978,279,104,0.5337423312883436,522,0.7992831541218638,0.2007168458781362,56,0.0,0.2761457109283196,161,217,53.98202428838121,18.303893454454474,11.168267287669122,,,,0.5337423312883436,0.065439672801636,0.9971387696709585
CAL_S56,CAL,band,0.25,entropy,0.875,reserved,40-59,1525,598,174,0.3777049180327869,576,0.7140468227424749,0.2859531772575251,171,0.316,0.44477576742349073,209,380,35.69898365203156,12.332664694434547,7.659400902915148,,,,0.4321311475409836,0.1560655737704918,0.9784250269687162
CAL_S56,CAL,band,0.25,entropy,0.875,reserved,60+,2111,1428,479,0.4808147797252487,1015,0.7836134453781513,0.21638655462184875,309,0.5149136577708007,0.5206909987064524,456,765,46.87375519608728,15.982337555624465,9.804054027531903,,,,0.6475603979156798,0.3538607295120796,0.87701317715959
CAL_S56,CAL,band,0.25,entropy,0.875,reserved,unknown,119,35,25,0.20168067226890757,24,0.6571428571428571,0.34285714285714286,12,0.29411764705882354,0.1954465287798621,12,24,15.347826086956522,5.685990338164251,3.753623188405797,,,,0.2605042016806723,0.11764705882352941,0.9642857142857143
LAM_S56,LAM,band,0.25,entropy,0.89,reserved,ALL,4733,2340,779,0.4728502007183604,2238,0.7769230769230769,0.22307692307692306,522,0.38004750593824227,0.49025791626273035,462,984,44.23848849573633,15.121661225880214,9.298295771908991,,,,0.5556729347137123,0.37080076061694484,0.8332636857501045
LAM_S56,LAM,band,0.25,entropy,0.89,reserved,<40,978,279,104,0.5122699386503068,501,0.8136200716845878,0.18637992831541217,52,0.13333333333333333,0.409438368648895,113,165,50.08914560133103,17.032481896731014,10.421149155811007,,,,0.5204498977505112,0.14519427402862986,0.9599427753934192
LAM_S56,LAM,band,0.25,entropy,0.89,reserved,40-59,1525,598,174,0.3318032786885246,506,0.7190635451505016,0.28093645484949836,168,0.3890909090909091,0.43822781839772273,8,176,36.79358771731768,12.69016164504988,7.869476430596323,,,,0.44,0.4301639344262295,0.7475728155339806
LAM_S56,LAM,band,0.25,entropy,0.89,reserved,60+,2111,1428,479,0.5656087162482236,1194,0.7934173669467787,0.20658263305322133,295,0.40404040404040403,0.4945158014026381,340,635,50.14338512274517,17.05019648789994,10.431558760930892,,,,0.6641402179062056,0.4315490288962577,0.8272327964860908
LAM_S56,LAM,band,0.25,entropy,0.89,reserved,unknown,119,35,25,0.31092436974789917,37,0.8,0.19999999999999996,7,0.4166666666666667,0.1946209818550244,1,8,30.464285714285715,10.623015873015872,6.654761904761904,,,,0.40336134453781514,0.3865546218487395,0.7738095238095238
S56,S56,band,0.3,msp,0.905,reserved,ALL,4733,2340,779,0.5237692795267272,2479,0.7901709401709401,0.20982905982905986,491,0.34966887417218545,0.5158266961031539,932,1423,48.173297274794415,16.4067671234177,10.05346109314236,0.7610585918072517,0.8167753094759251,boot,0.5810268328755546,0.21529685189097825,0.9573756790639365
S56,S56,band,0.3,msp,0.905,reserved,<40,978,279,104,0.5378323108384458,526,0.8315412186379928,0.1684587813620072,47,0.12962962962962962,0.41096452918084797,137,184,52.267333875980455,17.743876720438063,10.839185289329583,0.7456520649558942,0.9006421232876712,boot,0.5449897750511248,0.11042944785276074,0.9814020028612304
S56,S56,band,0.3,msp,0.905,reserved,40-59,1525,598,174,0.4819672131147541,735,0.7759197324414716,0.2240802675585284,134,0.25139664804469275,0.5029680932323922,243,377,44.63127720120522,15.249945752582176,9.373679462857568,0.7090121296269513,0.8360451611565201,boot,0.5121311475409837,0.1580327868852459,0.9784250269687162
S56,S56,band,0.3,msp,0.905,reserved,60+,2111,1428,479,0.5580293699668404,1178,0.7878151260504201,0.21218487394957986,303,0.4070450097847358,0.4808638188055986,535,838,50.124872620790626,17.044150317227913,10.428005856515375,0.7543363702750967,0.8186316768086545,boot,0.659403126480341,0.31075319753671243,0.9033674963396778
S56,S56,band,0.3,msp,0.905,reserved,unknown,119,35,25,0.33613445378151263,40,0.8,0.19999999999999996,7,0.36363636363636365,0.21644150617993674,17,24,24.571428571428573,8.698412698412698,5.523809523809524,0.6306211554775547,0.9155939838394355,CP,0.3697478991596639,0.11764705882352941,0.9642857142857143
COMB,COMB,band,0.3,entropy,0.9,reserved,ALL,4733,2340,779,0.5032748785125714,2382,0.7952991452991452,0.20470085470085475,479,0.447520184544406,0.5315588697519014,450,929,50.626123839166404,17.207858627606534,10.524205585294562,0.7664633526680321,0.8215664955199838,boot,0.5947601943798859,0.3807310373969998,0.8366067697450899
COMB,COMB,band,0.3,entropy,0.9,reserved,<40,978,279,104,0.6298568507157464,616,0.8566308243727598,0.14336917562724016,40,0.0,0.1342563457100902,166,206,63.33122631853035,21.35733654174224,12.962558586384612,0.7813704071499504,0.9176886148525665,boot,0.6298568507157464,0.0787321063394683,0.994277539341917
COMB,COMB,band,0.3,entropy,0.9,reserved,40-59,1525,598,174,0.4367213114754098,666,0.7491638795986622,0.25083612040133785,150,0.29906542056074764,0.45736901167612387,34,184,42.48313973647712,14.548365503159191,8.961410656495607,0.680625797959204,0.8110239512285045,boot,0.4845901639344262,0.41770491803278686,0.7594390507011866
COMB,COMB,band,0.3,entropy,0.9,reserved,60+,2111,1428,479,0.5097110374230223,1076,0.8032212885154062,0.1967787114845938,281,0.5285234899328859,0.5374755424687016,250,531,49.182634436259335,16.736415960663823,10.247172265544721,0.7711854805673615,0.834677555395934,boot,0.669824727617243,0.4936049265750829,0.787701317715959
COMB,COMB,band,0.3,entropy,0.9,reserved,unknown,119,35,25,0.20168067226890757,24,0.7714285714285715,0.22857142857142854,8,0.5294117647058824,0.18621497816128688,0,8,30.02777777777778,10.480452674897117,6.570987654320987,0.5986367438926854,0.8957895680521848,CP,0.3865546218487395,0.3865546218487395,0.7738095238095238
COMB_global,COMB,global,0.3,entropy,,reserved,ALL,4733,2340,779,0.5628565391929009,2664,0.8414529914529915,0.15854700854700854,371,0.3291139240506329,0.5343188072865652,558,929,44.315022633519085,15.146657223741922,9.31298414178649,0.8151643608937258,0.8674149254922956,boot,0.6021550813437566,0.3807310373969998,0.8366067697450899
COMB_global,COMB,global,0.3,entropy,,reserved,<40,978,279,104,0.21881390593047034,214,0.5304659498207885,0.46953405017921146,131,0.10273972602739725,0.3281814624927562,75,206,22.893457835517918,8.150388586010905,5.201774736109499,0.4066778178075142,0.6445216678158758,boot,0.23517382413087934,0.0787321063394683,0.994277539341917
COMB_global,COMB,global,0.3,entropy,,reserved,40-59,1525,598,174,0.4681967213114754,714,0.7642140468227425,0.23578595317725748,141,0.27319587628865977,0.43586603859002054,43,184,44.60085827792059,15.240010952721537,9.36784148768173,0.6963300164878077,0.8247874149659864,boot,0.5042622950819672,0.41770491803278686,0.7594390507011866
COMB_global,COMB,global,0.3,entropy,,reserved,60+,2111,1428,479,0.7963050686878257,1681,0.9334733893557423,0.06652661064425769,95,0.5432692307692307,0.5686289391218161,436,531,72.7388688314099,24.42986625133589,14.768065735321095,0.9114905412405094,0.9520178704703418,boot,0.8503079109426812,0.4936049265750829,0.787701317715959
COMB_global,COMB,global,0.3,entropy,,reserved,unknown,119,35,25,0.46218487394957986,55,0.8857142857142857,0.11428571428571432,4,0.2,0.18579234972677594,4,8,34.266129032258064,11.86469534050179,7.384408602150537,0.7419354838709677,0.975609756097561,boot,0.47058823529411764,0.3865546218487395,0.7738095238095238
CAL_S56,CAL,band,0.3,entropy,0.895,reserved,ALL,4733,2340,779,0.5020071836044792,2376,0.7893162393162393,0.2106837606837607,493,0.43137254901960786,0.5292148473667416,893,1386,49.63953721726268,16.885640101260872,10.334860678060513,,,,0.5863088949926051,0.2245932812169871,0.9544504805683243
CAL_S56,CAL,band,0.3,entropy,0.895,reserved,<40,978,279,104,0.6298568507157464,616,0.8566308243727598,0.14336917562724016,40,0.0,0.1342563457100902,177,217,63.33122631853035,21.35733654174224,12.962558586384612,,,,0.6298568507157464,0.065439672801636,0.9971387696709585
CAL_S56,CAL,band,0.3,entropy,0.895,reserved,40-59,1525,598,174,0.4314754098360656,658,0.745819397993311,0.254180602006689,152,0.2930232558139535,0.4565919420511716,228,380,40.807653794244416,14.001152922699353,8.639852748390343,,,,0.47475409836065574,0.1560655737704918,0.9784250269687162
CAL_S56,CAL,band,0.3,entropy,0.895,reserved,60+,2111,1428,479,0.5106584557081951,1078,0.7976190476190477,0.20238095238095233,289,0.5142857142857142,0.5341799217757458,476,765,49.15760145101724,16.728240204540985,10.242367955245735,,,,0.6650876361913785,0.3538607295120796,0.87701317715959
CAL_S56,CAL,band,0.3,entropy,0.895,reserved,unknown,119,35,25,0.20168067226890757,24,0.6571428571428571,0.34285714285714286,12,0.29411764705882354,0.1954465287798621,12,24,15.347826086956522,5.685990338164251,3.753623188405797,,,,0.2605042016806723,0.11764705882352941,0.9642857142857143
LAM_S56,LAM,band,0.3,entropy,0.905,reserved,ALL,4733,2340,779,0.5372913585463766,2543,0.8072649572649573,0.19273504273504272,451,0.3463768115942029,0.5239185940502133,533,984,47.99435909880968,16.348326035638177,10.019119423003877,,,,0.5928586520177477,0.37080076061694484,0.8332636857501045
LAM_S56,LAM,band,0.3,entropy,0.905,reserved,<40,978,279,104,0.532719836400818,521,0.8315412186379928,0.1684587813620072,47,0.12962962962962962,0.41106326828251966,118,165,51.41571703418676,17.4657392333876,10.675743673227764,,,,0.5398773006134969,0.14519427402862986,0.9599427753934192
LAM_S56,LAM,band,0.3,entropy,0.905,reserved,40-59,1525,598,174,0.4544262295081967,693,0.7675585284280937,0.2324414715719063,139,0.28350515463917525,0.5095737822727161,37,176,42.880364659348096,14.678098895477323,9.03764574270317,,,,0.49836065573770494,0.4301639344262295,0.7475728155339806
LAM_S56,LAM,band,0.3,entropy,0.905,reserved,60+,2111,1428,479,0.6106110847939366,1289,0.819327731092437,0.18067226890756305,258,0.4027777777777778,0.5053912372054012,377,635,53.89663250366032,18.276004555067512,11.151878965348951,,,,0.6958787304594979,0.4315490288962577,0.8272327964860908
LAM_S56,LAM,band,0.3,entropy,0.905,reserved,unknown,119,35,25,0.33613445378151263,40,0.8,0.19999999999999996,7,0.3,0.17711545049674546,1,8,31.9375,11.104166666666666,6.9375,,,,0.4117647058823529,0.3865546218487395,0.7738095238095238
S56_matched,S56,band,0.305,msp,0.91,reserved,ALL,4733,2340,779,0.5311641664905979,2514,0.7935897435897435,0.20641025641025645,483,0.34993270524899056,0.5184008420054623,940,1423,49.16908767966883,16.731991599083756,10.244572382966744,0.7651578228915974,0.8197152080211628,boot,0.5875765899006973,0.21529685189097825,0.9573756790639365
S56_matched,S56,band,0.305,msp,0.91,reserved,<40,978,279,104,0.5521472392638037,540,0.8422939068100358,0.1577060931899642,44,0.12,0.40869717826239566,140,184,53.294347548169114,18.07929869418318,11.036288923385992,0.7639690690690691,0.9068142035508877,boot,0.558282208588957,0.11042944785276074,0.9814020028612304
S56_matched,S56,band,0.305,msp,0.91,reserved,40-59,1525,598,174,0.4904918032786885,748,0.7792642140468228,0.22073578595317722,132,0.2542372881355932,0.5036340716384199,245,377,45.95153964748531,15.681142578471633,9.627063164668899,0.7126589216424806,0.8387131585054537,boot,0.520655737704918,0.1580327868852459,0.9784250269687162
S56_matched,S56,band,0.305,msp,0.91,reserved,60+,2111,1428,479,0.561819043107532,1186,0.7899159663865546,0.2100840336134454,300,0.40594059405940597,0.48442947523237556,538,838,50.36121927665805,17.12134097587822,10.473365315722251,0.7567950115228944,0.821090673776542,boot,0.6617716721932734,0.31075319753671243,0.9033674963396778
S56_matched,S56,band,0.305,msp,0.91,reserved,unknown,119,35,25,0.33613445378151263,40,0.8,0.19999999999999996,7,0.36363636363636365,0.21644150617993674,17,24,24.571428571428573,8.698412698412698,5.523809523809524,0.6306211554775547,0.9155939838394355,CP,0.3697478991596639,0.11764705882352941,0.9642857142857143
