cohort,band,lambda,expected_cost,escalation_sens,escalation_spec,referral_rate
ham_oof,<40,0.0,0.24715693707354056,0.546875,0.9752988047808765,0.050037907505686124
ham_oof,<40,0.01,0.2486732373009856,0.546875,0.9737051792828685,0.05155420773313116
ham_oof,<40,0.02,0.2486732373009856,0.546875,0.9737051792828685,0.05155420773313116
ham_oof,<40,0.03,0.24260803639120546,0.5625,0.9721115537848606,0.053828658074298714
ham_oof,<40,0.04,0.24336618650492797,0.5625,0.9713147410358566,0.05458680818802123
ham_oof,<40,0.05,0.24336618650492797,0.5625,0.9713147410358566,0.05458680818802123
ham_oof,<40,0.06,0.244882486732373,0.5625,0.9697211155378486,0.056103108415466264
ham_oof,<40,0.07,0.244882486732373,0.5625,0.9697211155378486,0.056103108415466264
ham_oof,<40,0.08,0.2395754359363154,0.578125,0.9689243027888447,0.0576194086429113
ham_oof,<40,0.09,0.24109173616376042,0.578125,0.9673306772908367,0.05913570887035633
ham_oof,<40,0.1,0.24109173616376042,0.578125,0.9673306772908367,0.05913570887035633
ham_oof,<40,0.11,0.24336618650492797,0.578125,0.9649402390438248,0.06141015921152388
ham_oof,<40,0.12,0.24336618650492797,0.578125,0.9649402390438248,0.06141015921152388
ham_oof,<40,0.13,0.2441243366186505,0.578125,0.9641434262948207,0.0621683093252464
ham_oof,<40,0.14,0.23654283548142532,0.59375,0.9641434262948207,0.06292645943896892
ham_oof,<40,0.15,0.23654283548142532,0.59375,0.9641434262948207,0.06292645943896892
ham_oof,<40,0.16,0.23654283548142532,0.59375,0.9641434262948207,0.06292645943896892
ham_oof,<40,0.17,0.23730098559514784,0.59375,0.9633466135458167,0.06368460955269144
ham_oof,<40,0.18,0.23730098559514784,0.59375,0.9633466135458167,0.06368460955269144
ham_oof,<40,0.19,0.23843821076573163,0.59375,0.9617529880478087,0.06520090978013647
ham_oof,<40,0.2,0.23237300985595147,0.609375,0.9601593625498008,0.06747536012130402
ham_oof,<40,0.21,0.23426838514025777,0.609375,0.9577689243027888,0.06974981046247157
ham_oof,<40,0.22,0.2350265352539803,0.609375,0.9569721115537848,0.07050796057619409
ham_oof,<40,0.23,0.2357846853677028,0.609375,0.9561752988047809,0.0712661106899166
ham_oof,<40,0.24,0.22820318423047764,0.625,0.9561752988047809,0.07202426080363912
ham_oof,<40,0.25,0.22896133434420016,0.625,0.9553784860557769,0.07278241091736164
ham_oof,<40,0.26,0.2304776345716452,0.625,0.9537848605577689,0.07429871114480667
ham_oof,<40,0.27,0.2312357846853677,0.625,0.9529880478087649,0.07505686125852919
ham_oof,<40,0.28,0.23275208491281274,0.625,0.951394422310757,0.07657316148597422
ham_oof,<40,0.29,0.23275208491281274,0.625,0.951394422310757,0.07657316148597422
ham_oof,<40,0.3,0.23275208491281274,0.625,0.951394422310757,0.07657316148597422
ham_oof,<40,0.31,0.23351023502653526,0.625,0.950597609561753,0.07733131159969674
ham_oof,<40,0.32,0.23464746019711902,0.625,0.949003984063745,0.07884761182714177
ham_oof,<40,0.33,0.23464746019711902,0.625,0.949003984063745,0.07884761182714177
ham_oof,<40,0.34,0.23692191053828657,0.625,0.9466135458167331,0.08112206216830932
ham_oof,<40,0.35,0.23692191053828657,0.625,0.9466135458167331,0.08112206216830932
ham_oof,<40,0.36,0.24071266110689918,0.625,0.9426294820717132,0.08491281273692192
ham_oof,<40,0.37,0.2414708112206217,0.625,0.9418326693227091,0.08567096285064443
ham_oof,<40,0.38,0.2414708112206217,0.625,0.9418326693227091,0.08567096285064443
ham_oof,<40,0.39,0.2422289613343442,0.625,0.9410358565737051,0.08642911296436695
ham_oof,<40,0.4,0.2422289613343442,0.625,0.9410358565737051,0.08642911296436695
ham_oof,<40,0.41,0.24298711144806673,0.625,0.9402390438247012,0.08718726307808947
ham_oof,<40,0.42,0.23692191053828657,0.640625,0.9386454183266932,0.08946171341925702
ham_oof,<40,0.43,0.23768006065200908,0.640625,0.9378486055776892,0.09021986353297953
ham_oof,<40,0.44,0.23919636087945415,0.640625,0.9362549800796812,0.09173616376042457
ham_oof,<40,0.45,0.24184988627748294,0.640625,0.9330677290836653,0.09476876421531463
ham_oof,<40,0.46,0.2441243366186505,0.640625,0.9306772908366534,0.09704321455648218
ham_oof,<40,0.47,0.24639878695981804,0.640625,0.9282868525896414,0.09931766489764973
ham_oof,<40,0.48,0.2486732373009856,0.640625,0.9258964143426295,0.10159211523881728
ham_oof,<40,0.49,0.24109173616376042,0.65625,0.9258964143426295,0.1023502653525398
ham_oof,<40,0.5,0.24374526156178924,0.65625,0.9227091633466136,0.10538286580742987
ham_oof,<40,0.51,0.24526156178923428,0.65625,0.9211155378486056,0.1068991660348749
ham_oof,<40,0.52,0.2505686125852919,0.65625,0.9147410358565737,0.11296436694465505
ham_oof,<40,0.53,0.2532221379833207,0.65625,0.9115537848605577,0.11599696739954511
ham_oof,<40,0.54,0.25473843821076575,0.65625,0.9099601593625498,0.11751326762699014
ham_oof,<40,0.55,0.2577710386656558,0.65625,0.9067729083665339,0.12054586808188021
ham_oof,<40,0.56,0.25246398786959817,0.671875,0.9043824701195219,0.12357846853677028
ham_oof,<40,0.57,0.2532221379833207,0.671875,0.9035856573705179,0.1243366186504928
ham_oof,<40,0.58,0.25549658832448824,0.671875,0.901195219123506,0.12661106899166036
ham_oof,<40,0.59,0.2573919636087945,0.671875,0.8988047808764941,0.1288855193328279
ham_oof,<40,0.6,0.25435936315390445,0.6875,0.8940239043824701,0.13419257012888552
ham_oof,<40,0.61,0.256633813495072,0.6875,0.8916334661354581,0.13646702047005307
ham_oof,<40,0.62,0.26194086429112967,0.6875,0.8860557768924303,0.1417740712661107
ham_oof,<40,0.63,0.2642153146322972,0.6875,0.8836653386454183,0.14404852160727824
ham_oof,<40,0.64,0.26648976497346477,0.6875,0.8812749003984064,0.1463229719484458
ham_oof,<40,0.65,0.2687642153146323,0.6875,0.8788844621513944,0.14859742228961334
ham_oof,<40,0.66,0.2721758908263836,0.6875,0.8749003984063745,0.15238817285822592
ham_oof,<40,0.67,0.2744503411675512,0.6875,0.8717131474103585,0.155420773313116
ham_oof,<40,0.68,0.27293404094010615,0.703125,0.8653386454183267,0.16224412433661864
ham_oof,<40,0.69,0.27975739196360877,0.703125,0.8581673306772908,0.16906747536012132
ham_oof,<40,0.7,0.28582259287338896,0.703125,0.851792828685259,0.17513267626990145
ham_oof,<40,0.71,0.2934040940106141,0.703125,0.8430278884462151,0.18347232752084913
ham_oof,<40,0.72,0.2941622441243366,0.703125,0.8422310756972111,0.18423047763457165
ham_oof,<40,0.73,0.2971948445792267,0.703125,0.8390438247011952,0.18726307808946172
ham_oof,<40,0.74,0.2941622441243366,0.71875,0.8342629482071713,0.19257012888551933
ham_oof,<40,0.75,0.2926459438968916,0.734375,0.8278884462151395,0.19939347990902198
ham_oof,<40,0.76,0.29833206974981047,0.734375,0.8215139442231075,0.20545868081880211
ham_oof,<40,0.77,0.3078089461713419,0.734375,0.8111553784860558,0.21531463229719486
ham_oof,<40,0.78,0.30856709628506446,0.75,0.802390438247012,0.22441243366186506
ham_oof,<40,0.79,0.30477634571645185,0.765625,0.798406374501992,0.22896133434420016
ham_oof,<40,0.8,0.30932524639878695,0.765625,0.7936254980079681,0.23351023502653526
ham_oof,<40,0.81,0.3009855951478393,0.796875,0.7864541832669323,0.24184988627748294
ham_oof,<40,0.82,0.3017437452615618,0.8125,0.7776892430278884,0.25094768764215314
ham_oof,<40,0.83,0.3115996967399545,0.8125,0.7673306772908367,0.2608036391205459
ham_oof,<40,0.84,0.3199393479909022,0.828125,0.7521912350597609,0.2759666413949962
ham_oof,<40,0.85,0.32221379833206976,0.84375,0.7418326693227092,0.28658074298711145
ham_oof,<40,0.86,0.33434420015163,0.84375,0.7282868525896414,0.29946929492039426
ham_oof,<40,0.87,0.33586050037907506,0.875,0.7123505976095618,0.3161485974222896
ham_oof,<40,0.88,0.3464746019711903,0.875,0.701195219123506,0.32676269901440486
ham_oof,<40,0.89,0.3536770280515542,0.890625,0.6852589641434262,0.34268385140257773
ham_oof,<40,0.9,0.3741470811220622,0.890625,0.6637450199203188,0.36315390447308565
ham_oof,<40,0.91,0.3991660348749052,0.90625,0.6294820717131474,0.39651250947687644
ham_oof,<40,0.92,0.412054586808188,0.921875,0.6071713147410358,0.4184988627748294
ham_oof,<40,0.93,0.43100833965125096,0.9375,0.5792828685258964,0.44579226686884005
ham_oof,<40,0.94,0.47194844579226686,0.9375,0.5362549800796813,0.48673237300985595
ham_oof,<40,0.95,0.5140257771038665,0.953125,0.48366533864541833,0.5375284306292646
ham_oof,<40,0.96,0.5928733889310084,0.953125,0.400796812749004,0.6163760424564063
ham_oof,<40,0.97,0.6937073540561031,0.984375,0.2788844621513944,0.7338893100833965
ham_oof,<40,0.98,0.9075056861258529,1.0,0.046215139442231074,0.956027293404094
ham_oof,<40,0.99,0.9401061410159212,1.0,0.01195219123505976,0.9886277482941622
ham_oof,<40,1.0,0.9514783927217589,1.0,0.0,1.0
ham_oof,<40,1.01,0.9514783927217589,1.0,0.0,1.0
ham_oof,<40,1.02,0.9514783927217589,1.0,0.0,1.0
ham_oof,<40,1.03,0.9514783927217589,1.0,0.0,1.0
ham_oof,<40,1.04,0.9514783927217589,1.0,0.0,1.0
ham_oof,<40,1.05,0.9514783927217589,1.0,0.0,1.0
ham_oof,<40,1.06,0.9514783927217589,1.0,0.0,1.0
ham_oof,<40,1.07,0.9514783927217589,1.0,0.0,1.0
ham_oof,<40,1.08,0.9514783927217589,1.0,0.0,1.0
ham_oof,<40,1.09,0.9514783927217589,1.0,0.0,1.0
ham_oof,<40,1.1,0.9514783927217589,1.0,0.0,1.0
ham_oof,<40,1.11,0.9514783927217589,1.0,0.0,1.0
ham_oof,<40,1.12,0.9514783927217589,1.0,0.0,1.0
ham_oof,<40,1.13,0.9514783927217589,1.0,0.0,1.0
ham_oof,<40,1.14,0.9514783927217589,1.0,0.0,1.0
ham_oof,<40,1.15,0.9514783927217589,1.0,0.0,1.0
ham_oof,<40,1.16,0.9514783927217589,1.0,0.0,1.0
ham_oof,<40,1.17,0.9514783927217589,1.0,0.0,1.0
ham_oof,<40,1.18,0.9514783927217589,1.0,0.0,1.0
ham_oof,<40,1.19,0.9514783927217589,1.0,0.0,1.0
ham_oof,<40,1.2,0.9514783927217589,1.0,0.0,1.0
ham_oof,40-59,0.0,0.5228149100257069,0.6120906801007556,0.972744014732965,0.1018637532133676
ham_oof,40-59,0.01,0.5163881748071979,0.6171284634760705,0.972744014732965,0.10250642673521851
ham_oof,40-59,0.02,0.5112467866323908,0.6221662468513854,0.9712707182320443,0.10443444730077121
ham_oof,40-59,0.03,0.5096401028277635,0.6246851385390428,0.9701657458563536,0.10571979434447301
ham_oof,40-59,0.04,0.5032133676092545,0.6297229219143576,0.9701657458563536,0.1063624678663239
ham_oof,40-59,0.05,0.5003213367609255,0.6322418136020151,0.9697974217311234,0.10700514138817481
