group,lam,n,n_positive,fit_cost,fit_sensitivity,fit_specificity,fit_referral_rate,baseline_cost,baseline_sensitivity,baseline_specificity,baseline_referral_rate,fitted,lambda_if_not_crossfitted
40-59,0.74,3112,397,0.25224935732647813,0.8967254408060453,0.8707182320441988,0.22718508997429307,0.5215295629820051,0.6120906801007556,0.972744014732965,0.1018637532133676,True,0.73
60+,0.33,2512,893,0.6636146496815286,0.8331466965285554,0.8511426806670784,0.39211783439490444,0.9335191082802548,0.7334826427771557,0.9116738727609636,0.3176751592356688,True,0.33
<40,0.26,1319,64,0.23237300985595147,0.625,0.952191235059761,0.0758150113722517,0.24829416224412434,0.546875,0.9729083665338646,0.052312357846853674,True,0.24
unknown,0.65,38,2,0.10526315789473684,1.0,0.8888888888888888,0.15789473684210525,0.05263157894736842,1.0,0.9444444444444444,0.10526315789473684,False,0.65
