band,lambda,expected_cost,escalation_sens,escalation_spec,referral_rate
<40,0.0,0.24829416224412434,0.546875,0.9729083665338646,0.052312357846853674
<40,0.01,0.24829416224412434,0.546875,0.9729083665338646,0.052312357846853674
<40,0.02,0.24905231235784686,0.546875,0.9721115537848606,0.05307050796057619
<40,0.03,0.24298711144806673,0.5625,0.9721115537848606,0.053828658074298714
<40,0.04,0.24298711144806673,0.5625,0.9721115537848606,0.053828658074298714
<40,0.05,0.24374526156178924,0.5625,0.9713147410358566,0.05458680818802123
<40,0.06,0.2460197119029568,0.5625,0.9689243027888447,0.05686125852918878
<40,0.07,0.2460197119029568,0.5625,0.9689243027888447,0.05686125852918878
<40,0.08,0.2460197119029568,0.5625,0.9689243027888447,0.05686125852918878
<40,0.09,0.24753601213040183,0.5625,0.9673306772908367,0.058377558756633814
<40,0.1,0.24753601213040183,0.5625,0.9673306772908367,0.058377558756633814
<40,0.11,0.24753601213040183,0.5625,0.9673306772908367,0.058377558756633814
<40,0.12,0.24905231235784686,0.5625,0.9657370517928286,0.05989385898407885
<40,0.13,0.24905231235784686,0.5625,0.9657370517928286,0.05989385898407885
<40,0.14,0.24981046247156938,0.5625,0.9649402390438248,0.060652009097801364
<40,0.15,0.24981046247156938,0.5625,0.9649402390438248,0.060652009097801364
<40,0.16,0.24450341167551176,0.578125,0.9641434262948207,0.0621683093252464
<40,0.17,0.23768006065200908,0.59375,0.9633466135458167,0.06368460955269144
<40,0.18,0.23919636087945415,0.59375,0.9617529880478087,0.06520090978013647
<40,0.19,0.23275208491281274,0.609375,0.9601593625498008,0.06747536012130402
<40,0.2,0.23275208491281274,0.609375,0.9601593625498008,0.06747536012130402
<40,0.21,0.23313115996967398,0.609375,0.9593625498007968,0.06823351023502654
<40,0.22,0.2338893100833965,0.609375,0.9585657370517928,0.06899166034874905
<40,0.23,0.23464746019711902,0.609375,0.9577689243027888,0.06974981046247157
<40,0.24,0.23692191053828657,0.609375,0.9553784860557769,0.07202426080363912
<40,0.25,0.23843821076573163,0.609375,0.9537848605577689,0.07354056103108415
<40,0.26,0.23237300985595147,0.625,0.952191235059761,0.0758150113722517
<40,0.27,0.23237300985595147,0.625,0.952191235059761,0.0758150113722517
<40,0.28,0.23313115996967398,0.625,0.951394422310757,0.07657316148597422
<40,0.29,0.23313115996967398,0.625,0.951394422310757,0.07657316148597422
<40,0.3,0.23313115996967398,0.625,0.951394422310757,0.07657316148597422
<40,0.31,0.23426838514025777,0.625,0.949800796812749,0.07808946171341925
<40,0.32,0.23426838514025777,0.625,0.949800796812749,0.07808946171341925
<40,0.33,0.23730098559514784,0.625,0.9466135458167331,0.08112206216830932
<40,0.34,0.23805913570887036,0.625,0.9458167330677291,0.08188021228203184
<40,0.35,0.2395754359363154,0.625,0.9442231075697212,0.08339651250947688
<40,0.36,0.2403335860500379,0.625,0.9434262948207172,0.0841546626231994
<40,0.37,0.24109173616376042,0.625,0.9426294820717132,0.08491281273692192
<40,0.38,0.24184988627748294,0.625,0.9418326693227091,0.08567096285064443
<40,0.39,0.24184988627748294,0.625,0.9418326693227091,0.08567096285064443
<40,0.4,0.2441243366186505,0.625,0.9394422310756972,0.08794541319181198
<40,0.41,0.244882486732373,0.625,0.9386454183266932,0.0887035633055345
<40,0.42,0.24715693707354056,0.625,0.9362549800796812,0.09097801364670205
<40,0.43,0.24791508718726307,0.625,0.9354581673306773,0.09173616376042457
<40,0.44,0.24109173616376042,0.640625,0.9346613545816733,0.0932524639878696
<40,0.45,0.2422289613343442,0.640625,0.9330677290836653,0.09476876421531463
<40,0.46,0.24526156178923428,0.640625,0.9298804780876494,0.0978013646702047
<40,0.47,0.24829416224412434,0.640625,0.9266932270916335,0.10083396512509477
<40,0.48,0.24905231235784686,0.640625,0.9258964143426295,0.10159211523881728
<40,0.49,0.2505686125852919,0.640625,0.9235059760956176,0.10386656557998483
<40,0.5,0.24829416224412434,0.65625,0.9179282868525896,0.10993176648976498
<40,0.51,0.25094768764215314,0.65625,0.9147410358565737,0.11296436694465505
<40,0.52,0.2539802880970432,0.65625,0.9115537848605577,0.11599696739954511
<40,0.53,0.25473843821076575,0.65625,0.9107569721115538,0.11675511751326763
<40,0.54,0.256633813495072,0.65625,0.9083665338645418,0.11902956785443518
<40,0.55,0.25928733889310085,0.65625,0.9051792828685259,0.12206216830932524
<40,0.56,0.26004548900682334,0.65625,0.9043824701195219,0.12282031842304776
<40,0.57,0.25246398786959817,0.671875,0.9043824701195219,0.12357846853677028
<40,0.58,0.25549658832448824,0.671875,0.901195219123506,0.12661106899166036
<40,0.59,0.2585291887793783,0.671875,0.8980079681274901,0.12964366944655042
<40,0.6,0.2634571645185747,0.671875,0.8924302788844621,0.13495072024260804
<40,0.61,0.256633813495072,0.6875,0.8916334661354581,0.13646702047005307
<40,0.62,0.2611827141774071,0.6875,0.8868525896414342,0.14101592115238817
<40,0.63,0.26497346474601974,0.6875,0.8828685258964143,0.14480667172100076
<40,0.64,0.26611068991660347,0.6875,0.8812749003984064,0.1463229719484458
<40,0.65,0.2676269901440485,0.6875,0.8796812749003984,0.14783927217589082
<40,0.66,0.2630780894617134,0.703125,0.8764940239043825,0.1516300227445034
<40,0.67,0.26914329037149354,0.703125,0.8701195219123506,0.15769522365428354
<40,0.68,0.2759666413949962,0.703125,0.8621513944223107,0.1652767247915087
<40,0.69,0.2812736921910538,0.703125,0.8565737051792829,0.17058377558756635
<40,0.7,0.28658074298711145,0.703125,0.850996015936255,0.17589082638362397
<40,0.71,0.2896133434420015,0.703125,0.847808764940239,0.17892342683851403
<40,0.72,0.2907505686125853,0.71875,0.8382470119521912,0.18877937831690675
<40,0.73,0.2930250189537528,0.71875,0.8358565737051793,0.1910538286580743
<40,0.74,0.2964366944655042,0.71875,0.8318725099601594,0.19484457922668688
<40,0.75,0.3017437452615618,0.71875,0.8262948207171315,0.2001516300227445
<40,0.76,0.29567854435178165,0.75,0.8167330677290837,0.21076573161485973
<40,0.77,0.3025018953752843,0.75,0.8095617529880478,0.2175890826383624
<40,0.78,0.30591357088703564,0.75,0.8055776892430279,0.221379833206975
<40,0.79,0.3134950720242608,0.75,0.797609561752988,0.22896133434420016
<40,0.8,0.31311599696739956,0.765625,0.7896414342629482,0.23730098559514784
<40,0.81,0.30932524639878695,0.78125,0.7856573705179283,0.24184988627748294
<40,0.82,0.31387414708112205,0.796875,0.7729083665338645,0.25473843821076575
<40,0.83,0.3169067475360121,0.8125,0.7617529880478088,0.26611068991660347
<40,0.84,0.3199393479909022,0.828125,0.750597609561753,0.27748294162244125
<40,0.85,0.33131159969673996,0.828125,0.7386454183266933,0.288855193328279
<40,0.86,0.3366186504927976,0.84375,0.7274900398406374,0.30022744503411675
<40,0.87,0.34836997725549657,0.84375,0.7147410358565737,0.312357846853677
<40,0.88,0.3457164518574678,0.875,0.701195219123506,0.32676269901440486
<40,0.89,0.36087945413191813,0.875,0.6852589641434262,0.3419257012888552
<40,0.9,0.38172858225928735,0.890625,0.6565737051792828,0.36997725549658833
<40,0.91,0.4075056861258529,0.890625,0.6294820717131474,0.3957543593631539
<40,0.92,0.4275966641394996,0.90625,0.6,0.4245640636846095
<40,0.93,0.44010614101592116,0.921875,0.5784860557768924,0.44579226686884005
<40,0.94,0.47194844579226686,0.9375,0.5370517928286852,0.48597422289613346
<40,0.95,0.521986353297953,0.9375,0.48446215139442234,0.5360121304018196
<40,0.96,0.5928733889310084,0.953125,0.401593625498008,0.6156178923426838
<40,0.97,0.6937073540561031,0.984375,0.2796812749003984,0.733131159969674
<40,0.98,0.9021986353297953,0.984375,0.06055776892430279,0.9416224412433661
<40,0.99,0.9416224412433661,1.0,0.011155378486055778,0.9893858984078847
<40,1.0,0.9522365428354814,1.0,0.0,1.0
<40,1.01,0.9522365428354814,1.0,0.0,1.0
<40,1.02,0.9522365428354814,1.0,0.0,1.0
<40,1.03,0.9522365428354814,1.0,0.0,1.0
<40,1.04,0.9522365428354814,1.0,0.0,1.0
<40,1.05,0.9522365428354814,1.0,0.0,1.0
<40,1.06,0.9522365428354814,1.0,0.0,1.0
<40,1.07,0.9522365428354814,1.0,0.0,1.0
<40,1.08,0.9522365428354814,1.0,0.0,1.0
<40,1.09,0.9522365428354814,1.0,0.0,1.0
<40,1.1,0.9522365428354814,1.0,0.0,1.0
<40,1.11,0.9522365428354814,1.0,0.0,1.0
<40,1.12,0.9522365428354814,1.0,0.0,1.0
<40,1.13,0.9522365428354814,1.0,0.0,1.0
<40,1.14,0.9522365428354814,1.0,0.0,1.0
<40,1.15,0.9522365428354814,1.0,0.0,1.0
<40,1.16,0.9522365428354814,1.0,0.0,1.0
<40,1.17,0.9522365428354814,1.0,0.0,1.0
<40,1.18,0.9522365428354814,1.0,0.0,1.0
<40,1.19,0.9522365428354814,1.0,0.0,1.0
<40,1.2,0.9522365428354814,1.0,0.0,1.0
40-59,0.0,0.5215295629820051,0.6120906801007556,0.972744014732965,0.1018637532133676
40-59,0.01,0.5189588688946015,0.6146095717884131,0.9720073664825046,0.10282776349614396
40-59,0.02,0.5167095115681234,0.6171284634760705,0.970902394106814,0.10411311053984576
40-59,0.03,0.5106041131105399,0.6221662468513854,0.9705340699815838,0.1050771208226221
40-59,0.04,0.5061053984575835,0.6272040302267002,0.9701657458563536,0.10604113110539845
40-59,0.05,0.5003213367609255,0.6322418136020151,0.9701657458563536,0.10668380462724936
40-59,0.06,0.5009640102827764,0.6322418136020151,0.9694290976058931,0.10732647814910026
40-59,0.07,0.5009640102827764,0.6322418136020151,0.9694290976058931,0.10732647814910026
40-59,0.08,0.49517994858611825,0.6372795969773299,0.9694290976058931,0.10796915167095116
40-59,0.09,0.49196658097686374,0.6397984886649875,0.9694290976058931,0.10829048843187661
40-59,0.1,0.4890745501285347,0.6423173803526449,0.969060773480663,0.1089331619537275
40-59,0.11,0.47975578406169667,0.6498740554156172,0.9686924493554327,0.11021850899742931
40-59,0.12,0.46786632390745503,0.6599496221662469,0.9683241252302026,0.11182519280205655
40-59,0.13,0.4646529562982005,0.6624685138539043,0.9683241252302026,0.112146529562982
40-59,0.14,0.46497429305912596,0.6624685138539043,0.9679558011049724,0.11246786632390746
40-59,0.15,0.46224293059125965,0.6649874055415617,0.967219152854512,0.1134318766066838
40-59,0.16,0.4606362467866324,0.6675062972292192,0.9661141804788214,0.1147172236503856
40-59,0.17,0.46095758354755784,0.6675062972292192,0.9657458563535911,0.11503856041131105
40-59,0.18,0.45581619537275064,0.672544080604534,0.9642725598526704,0.11696658097686376
40-59,0.19,0.45340616966580977,0.6750629722921915,0.9639042357274401,0.11760925449871465
40-59,0.2,0.4444087403598972,0.6826196473551638,0.9631675874769797,0.1192159383033419
40-59,0.21,0.44151670951156813,0.6851385390428212,0.9627992633517496,0.1198586118251928
40-59,0.22,0.432840616966581,0.6926952141057935,0.961694290976059,0.1217866323907455
40-59,0.23,0.4338046272493573,0.6926952141057935,0.9605893186003683,0.12275064267352186
