band,missed,missed_and_referred,share_referred,band_abstention_rate
<40,10,1,0.1,0.06367041198501873
40-59,27,6,0.2222222222222222,0.07173601147776183
60+,51,21,0.4117647058823529,0.17204301075268819
ALL,88,28,0.3181818181818182,0.10639686684073107
