band,n,n_escalating,escalating_prior,argmax_sens,missed,escalation_mass_auc,referral_rate,auc_ci_lo,auc_ci_hi
<40,1319,64,0.04852160727824109,0.546875,29,0.8892679282868526,0.052312357846853674,0.830502299395985,0.9491281863963732
40-59,3112,397,0.1275706940874036,0.6120906801007556,154,0.9525381428856387,0.1018637532133676,0.9361791376557957,0.9651644401755723
60+,2512,893,0.3554936305732484,0.7334826427771557,238,0.9334505490857101,0.3176751592356688,0.9222956546469304,0.9450502698280189
unknown,38,2,0.05263157894736842,1.0,0,1.0,0.10526315789473684,1.0,1.0
ALL,6981,1356,0.19424151267726686,0.68952802359882,421,0.9487219927892495,0.17017619252256125,0.9404624411930531,0.9563604136663917
