rung,n,coverage,macro_f1,balanced_accuracy,escalation_sensitivity,missed_serious,ece,note,macro_f1_ci_low,macro_f1_ci_high,balanced_accuracy_ci_low,balanced_accuracy_ci_high,escalation_sensitivity_ci_low,escalation_sensitivity_ci_high
A7_val,1502,1.0,0.8047238352979755,0.793927529107908,0.7310344827586207,78,,"published rung, validation-fitted Dirichlet; reproduction check",0.7547593408551212,0.8419859163062979,0.7361085399214286,0.8434325841919116,0.6642335766423357,0.7967535107169254
A7_oof,1502,1.0,0.7871010751531341,0.7771422157639886,0.7310344827586207,78,,"OOF-fitted Dirichlet over 6,981 rows; isolates calibration sample size",0.7314731727940287,0.8295085394727244,0.7129984062723237,0.8344049449915594,0.6628937691521961,0.7985611510791367
A8,1502,1.0,0.7809911188102345,0.7604145500149911,0.7344827586206897,77,,uniform 30-member fold bag + OOF Dirichlet; see the foldbag caveat in the plan,0.7207354907641108,0.8257674431666429,0.6947675537532473,0.8230921265989972,0.6655156739811913,0.8013710774312639
