"﻿""timestamp""",session,method,split,macro_f1,accuracy,balanced_accuracy,weighted_f1,macro_roc_auc,ece,escalation_sens,missed_serious,p_value_vs_baseline,notes
2026-09-04T12:51:42+00:00,session4_valfit,conformal_raps_mondrian_a10,val,,,,,,,,,,"coverage=0.9230; serious_coverage=0.9545; mean_set_size=2.608; singleton=0.1312; empty=0.0020; false_reassurance=11; n_cal=762; k_reg=1, lambda=0.2"
2026-09-04T12:51:42+00:00,session4_valfit,conformal_lac_marginal_a05,val,,,,,,,,,,coverage=0.9510; serious_coverage=0.8636; mean_set_size=1.289; singleton=0.7572; empty=0.0000; false_reassurance=38; n_cal=762
2026-09-04T12:51:42+00:00,session4_valfit,conformal_lac_mondrian_a05,val,,,,,,,,,,coverage=0.9523; serious_coverage=0.9805; mean_set_size=3.574; singleton=0.0000; empty=0.0000; false_reassurance=4; n_cal=762
2026-09-04T12:51:42+00:00,session4_valfit,conformal_aps_marginal_a05,val,,,,,,,,,,coverage=0.9537; serious_coverage=0.9026; mean_set_size=1.513; singleton=0.6155; empty=0.0131; false_reassurance=27; n_cal=762
2026-09-04T12:51:42+00:00,session4_valfit,conformal_aps_mondrian_a05,val,,,,,,,,,,coverage=0.9700; serious_coverage=0.9805; mean_set_size=3.846; singleton=0.0000; empty=0.0000; false_reassurance=5; n_cal=762
2026-09-04T12:51:42+00:00,session4_valfit,conformal_raps_marginal_a05,val,,,,,,,,,,"coverage=0.9530; serious_coverage=0.8701; mean_set_size=1.376; singleton=0.6749; empty=0.0000; false_reassurance=34; n_cal=762; k_reg=1, lambda=0.05"
2026-09-04T12:51:42+00:00,session4_valfit,conformal_raps_mondrian_a05,val,,,,,,,,,,"coverage=0.9667; serious_coverage=0.9805; mean_set_size=3.852; singleton=0.0000; empty=0.0000; false_reassurance=5; n_cal=762; k_reg=1, lambda=0.05"
2026-09-04T12:51:43+00:00,session6_oof,conformal_lac_marginal_a10,val,,,,,,,,,,coverage=0.9047; serious_coverage=0.7630; mean_set_size=1.086; singleton=0.9151; empty=0.0000; false_reassurance=68; n_cal=3468
2026-09-04T12:51:43+00:00,session6_oof,conformal_lac_mondrian_a10,val,,,,,,,,,,coverage=0.8760; serious_coverage=0.9188; mean_set_size=1.259; singleton=0.7924; empty=0.0020; false_reassurance=20; n_cal=3468
2026-09-04T12:51:43+00:00,session6_oof,conformal_aps_marginal_a10,val,,,,,,,,,,coverage=0.8936; serious_coverage=0.8409; mean_set_size=1.268; singleton=0.6965; empty=0.0496; false_reassurance=43; n_cal=3468
