subset,n,false_reject,ci_lo,ci_hi
all,128,0.0703125,0.03265362731921919,0.1292793879545287
escalating,51,0.09803921568627451,0.032606489551890945,0.2141449825456809
band <40,25,0.04,0.0010121996993108454,0.203516913922414
band 40-59,31,0.0967741935483871,0.02041986268779211,0.2575390646277355
band 60+,44,0.11363636363636363,0.03794371293927479,0.24557677631553135
band unknown,28,0.0,0.0,0.12343611850026381
archive bcn20000,64,0.09375,0.035187332870818315,0.1929691044483439
archive mskcc,64,0.046875,0.009773074954456552,0.13093573724140584
